Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -5.4804      -5.5178       0.0374   289.0
0.1000          -5.9552      -6.3094       0.3542  2740.1
0.2000          -6.2794      -6.5852       0.3059  2366.3
0.3000          -6.4784      -6.6868       0.2084  1612.5
0.4000          -6.6017      -6.7595       0.1578  1220.6
0.5000          -6.6687      -6.7511       0.0824   637.5
0.6000          -6.7111      -6.8018       0.0907   701.8
0.7000          -6.7350      -6.8125       0.0775   599.7
0.8000          -6.7465      -6.8169       0.0704   544.7
0.9000          -6.7522      -6.8081       0.0559   432.3
1.0000          -6.7540      -6.8029       0.0489   378.2
1.1000          -6.7531      -6.8059       0.0527   407.8
1.2000          -6.7504      -6.7957       0.0453   350.1
1.3000          -6.7485      -6.8101       0.0616   476.4
1.4000          -6.7482      -6.8051       0.0570   440.8
1.5000          -6.7425      -6.8023       0.0598   462.8
1.6000          -6.7381      -6.7985       0.0604   467.6
1.7000          -6.7363      -6.8065       0.0702   542.9
1.8000          -6.7345      -6.7974       0.0629   486.9
1.9000          -6.7311      -6.8116       0.0805   622.7
2.0000          -6.7277      -6.8065       0.0788   609.4
2.1000          -6.7243      -6.7978       0.0736   569.0
2.2000          -6.7207      -6.7914       0.0706   546.5
2.3000          -6.7169      -6.7784       0.0616   476.2
2.4000          -6.7138      -6.7856       0.0718   555.3
2.5000          -6.7098      -6.7893       0.0795   615.2
2.6000          -6.7067      -6.8135       0.1068   826.1
2.7000          -6.7041      -6.7854       0.0813   629.2
2.8000          -6.7013      -6.7848       0.0835   646.2
2.9000          -6.6973      -6.7611       0.0638   493.4
3.0000          -6.6936      -6.8036       0.1100   851.2
3.1000          -6.6916      -6.7722       0.0805   623.1
3.2000          -6.6867      -6.7746       0.0879   680.4
3.3000          -6.6832      -6.7794       0.0962   744.4
3.4000          -6.6791      -6.7607       0.0816   631.3
3.5000          -6.6766      -6.7741       0.0975   754.4
3.6000          -6.6741      -6.8056       0.1315  1017.3
3.7000          -6.6689      -6.7777       0.1087   841.1
3.8000          -6.6633      -6.7689       0.1056   816.8
3.9000          -6.6580      -6.7733       0.1154   892.4
4.0000          -6.6557      -6.7544       0.0987   763.7
4.1000          -6.6537      -6.7533       0.0995   770.0
4.2000          -6.6503      -6.7592       0.1089   842.4
4.3000          -6.6413      -6.7622       0.1209   935.4
4.4000          -6.6400      -6.7568       0.1168   903.6
4.5000          -6.6386      -6.7539       0.1153   892.4
4.6000          -6.6344      -6.7583       0.1238   958.1
4.7000          -6.6290      -6.7224       0.0934   722.7
4.8000          -6.6259      -6.7472       0.1213   938.1
4.9000          -6.6250      -6.7271       0.1021   789.6
5.0000          -6.6199      -6.7320       0.1121   867.3
5.1000          -6.6171      -6.7422       0.1251   968.1
5.2000          -6.6137      -6.7527       0.1390  1075.2
5.3000          -6.6070      -6.7323       0.1253   969.0
5.4000          -6.6085      -6.7529       0.1444  1117.1
5.5000          -6.6005      -6.7493       0.1488  1151.1
5.6000          -6.5884      -6.7456       0.1572  1216.4
5.7000          -6.5946      -6.7179       0.1234   954.4
5.8000          -6.5928      -6.7032       0.1104   853.9
5.9000          -6.5890      -6.7294       0.1404  1086.3
6.0000          -6.5873      -6.7184       0.1311  1014.6
6.1000          -6.5887      -6.7201       0.1314  1016.7
6.2000          -6.5786      -6.7000       0.1214   939.3
6.3000          -6.5767      -6.6945       0.1178   911.6
6.4000          -6.5741      -6.7130       0.1389  1074.9
6.5000          -6.5702      -6.7278       0.1575  1218.7
6.6000          -6.5649      -6.6831       0.1183   914.8
6.7000          -6.5574      -6.6999       0.1426  1103.0
6.8000          -6.5584      -6.6839       0.1256   971.3
6.9000          -6.5555      -6.7107       0.1552  1200.4
7.0000          -6.5469      -6.7174       0.1705  1318.7
7.1000          -6.5439      -6.7092       0.1652  1278.4
7.2000          -6.5366      -6.7046       0.1681  1300.2
7.3000          -6.5346      -6.7084       0.1738  1344.8
7.4000          -6.5327      -6.7101       0.1775  1372.9
7.5000          -6.5260      -6.6971       0.1711  1323.3
7.6000          -6.5269      -6.6989       0.1720  1330.8
7.7000          -6.5191      -6.6686       0.1495  1156.7
7.8000          -6.5144      -6.6949       0.1805  1396.5
7.9000          -6.5116      -6.6873       0.1757  1359.0
