Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -5.4716      -5.5178       0.0462   357.5
0.1000          -6.2044      -6.5564       0.3520  2723.3
0.2000          -6.4012      -6.6036       0.2024  1565.9
0.3000          -6.3719      -6.5959       0.2241  1733.5
0.4000          -6.2702      -6.5449       0.2747  2125.4
0.5000          -6.1366      -6.4724       0.3358  2598.0
0.6000          -5.9939      -6.4411       0.4472  3460.1
0.7000          -5.8236      -6.3629       0.5393  4172.3
0.8000          -5.6618      -6.1739       0.5120  3961.3
0.9000          -5.5114      -6.1343       0.6229  4818.8
1.0000          -5.3720      -6.0706       0.6986  5404.8
1.1000          -5.1960      -5.8667       0.6707  5188.7
1.2000          -5.0923      -5.8175       0.7251  5609.8
1.3000          -5.1496      -5.9080       0.7584  5867.2
1.4000          -5.1676      -5.9737       0.8061  6236.1
1.5000          -5.1411      -5.8978       0.7567  5854.3
1.6000          -5.2020      -6.2508       1.0488  8113.8
1.7000          -5.1480      -6.0407       0.8927  6906.5
1.8000          -5.1014      -5.7180       0.6166  4770.1
1.9000          -5.1877      -5.9556       0.7680  5941.4
2.0000          -5.1688      -6.0857       0.9169  7093.1
2.1000          -5.1157      -6.1262       1.0105  7817.3
2.2000          -5.1780      -5.9153       0.7373  5703.8
2.3000          -5.2121      -6.0480       0.8359  6467.1
2.4000          -5.2821      -6.0369       0.7548  5839.6
2.5000          -5.1408      -5.8233       0.6825  5279.8
2.6000          -5.2311      -6.0799       0.8488  6566.3
2.7000          -5.2945      -6.1039       0.8094  6261.7
2.8000          -5.1468      -5.9664       0.8196  6340.7
2.9000          -5.1385      -6.0734       0.9349  7232.6
3.0000          -5.1996      -6.0928       0.8932  6910.1
3.1000          -5.1978      -6.0464       0.8486  6565.0
3.2000          -5.2101      -6.0833       0.8731  6755.0
3.3000          -5.3447      -6.2640       0.9193  7111.9
3.4000          -5.4113      -6.2510       0.8397  6496.2
3.5000          -5.5372      -6.3621       0.8249  6381.4
3.6000          -5.4872      -6.2885       0.8014  6199.6
3.7000          -5.4494      -6.1241       0.6747  5219.5
3.8000          -5.4356      -6.1810       0.7454  5766.4
3.9000          -5.4506      -6.3479       0.8974  6942.5
4.0000          -5.4846      -6.3004       0.8158  6311.1
4.1000          -5.4200      -6.2266       0.8067  6240.6
4.2000          -5.4095      -6.3175       0.9080  7024.6
4.3000          -5.4548      -6.3776       0.9228  7139.2
4.4000          -5.4206      -6.1698       0.7492  5796.0
4.5000          -5.3774      -6.2148       0.8375  6478.8
4.6000          -5.4004      -6.2437       0.8433  6523.8
4.7000          -5.3871      -6.2194       0.8323  6438.8
4.8000          -5.3983      -6.2719       0.8736  6758.1
4.9000          -5.3946      -6.4112       1.0166  7864.4
5.0000          -5.3901      -6.1577       0.7676  5938.7
5.1000          -5.3447      -6.3613       1.0166  7864.8
5.2000          -5.3056      -6.1456       0.8399  6498.1
5.3000          -5.3672      -6.2137       0.8465  6548.9
5.4000          -5.4344      -6.2676       0.8332  6445.6
5.5000          -5.4134      -6.1635       0.7501  5803.2
5.6000          -5.4410      -6.3318       0.8908  6891.4
5.7000          -5.4470      -6.2199       0.7729  5979.4
5.8000          -5.5013      -6.1998       0.6985  5403.8
5.9000          -5.5355      -6.2136       0.6781  5246.1
6.0000          -5.4860      -6.2830       0.7970  6166.2
6.1000          -5.5452      -6.4147       0.8695  6726.9
6.2000          -5.5866      -6.2456       0.6590  5098.5
6.3000          -5.6242      -6.3028       0.6786  5249.9
6.4000          -5.6454      -6.4232       0.7779  6017.9
6.5000          -5.6832      -6.2846       0.6014  4652.6
6.6000          -5.8065      -6.4085       0.6020  4657.6
6.7000          -5.8812      -6.5069       0.6257  4840.9
6.8000          -5.9629      -6.5522       0.5893  4558.7
6.9000          -6.0407      -6.6063       0.5655  4375.2
7.0000          -6.1494      -6.6148       0.4653  3599.9
7.1000          -6.2014      -6.6620       0.4606  3563.5
7.2000          -6.3067      -6.7215       0.4147  3208.5
7.3000          -6.3866      -6.7907       0.4041  3126.6
7.4000          -6.4731      -6.7753       0.3022  2337.7
7.5000          -6.5565      -6.8042       0.2477  1916.2
7.6000          -6.6322      -6.8198       0.1876  1451.4
7.7000          -6.7070      -6.8813       0.1743  1348.6
7.8000          -6.7824      -6.9207       0.1383  1070.1
7.9000          -6.8612      -6.9755       0.1143   884.2
8.0000          -6.9373      -7.0080       0.0708   547.6
