       Step     Time          Energy          fmax
LBFGS:    0 09:13:54     -148.980515       29.486764
LBFGS:    1 09:13:54     -162.261556       19.348072
LBFGS:    2 09:13:54     -167.875301       18.476666
LBFGS:    3 09:13:54     -169.790493       15.354589
LBFGS:    4 09:13:54     -173.416526       12.137334
LBFGS:    5 09:13:54     -176.256412       12.532230
LBFGS:    6 09:13:54     -178.416469        6.741152
LBFGS:    7 09:13:54     -179.269253        9.202748
LBFGS:    8 09:13:54     -178.811306       21.028326
LBFGS:    9 09:13:54     -178.627170       10.331588
LBFGS:   10 09:13:54     -179.586604        4.837769
LBFGS:   11 09:13:54     -180.124008       11.538687
LBFGS:   12 09:13:55     -179.404008        7.202155
LBFGS:   13 09:13:55     -180.307639        3.103779
LBFGS:   14 09:13:55     -180.350453        3.870321
LBFGS:   15 09:13:55     -180.454650        4.481897
LBFGS:   16 09:13:55     -180.480905        2.487066
LBFGS:   17 09:13:55     -180.531629        0.726036
LBFGS:   18 09:13:55     -180.455078       10.733771
LBFGS:   19 09:13:55     -180.518719        1.099136
LBFGS:   20 09:13:55     -180.487712        1.536163
LBFGS:   21 09:13:55     -180.545396        0.871187
LBFGS:   22 09:13:55     -180.547814        0.956910
LBFGS:   23 09:13:55     -180.523047        5.901169
LBFGS:   24 09:13:55     -180.550495        0.629083
LBFGS:   25 09:13:55     -180.550990        0.164039
LBFGS:   26 09:13:55     -180.551041        0.274222
LBFGS:   27 09:13:56     -180.551176        0.112265
LBFGS:   28 09:13:56     -180.551238        0.026476
