Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.7076      -6.7424       0.0348   268.9
0.1000          -6.7109      -6.7444       0.0335   259.5
0.2000          -6.7118      -6.7520       0.0402   311.3
0.3000          -6.7106      -6.7519       0.0413   319.4
0.4000          -6.7085      -6.7441       0.0356   275.5
0.5000          -6.7057      -6.7586       0.0529   408.9
0.6000          -6.7033      -6.7645       0.0612   473.1
0.7000          -6.7002      -6.7543       0.0542   419.0
0.8000          -6.7404      -6.9711       0.2306  1784.3
0.9000          -6.8605      -6.9932       0.1327  1026.5
1.0000          -6.9441      -7.0600       0.1159   896.9
1.1000          -6.9943      -7.0787       0.0844   652.8
1.2000          -7.0242      -7.1008       0.0767   593.0
1.3000          -7.0356      -7.1196       0.0840   649.8
1.4000          -7.0446      -7.1011       0.0565   436.9
1.5000          -7.0500      -7.1142       0.0642   496.7
1.6000          -7.0552      -7.1277       0.0725   560.5
1.7000          -7.0586      -7.1359       0.0773   597.8
1.8000          -7.0528      -7.1149       0.0621   480.4
1.9000          -7.0529      -7.1155       0.0626   484.3
2.0000          -7.0390      -7.1055       0.0665   514.4
2.1000          -7.0318      -7.1164       0.0846   654.3
2.2000          -7.0343      -7.1041       0.0699   540.4
2.3000          -7.0363      -7.1178       0.0816   631.1
2.4000          -7.0370      -7.1390       0.1020   789.0
2.5000          -7.0306      -7.1184       0.0878   679.4
2.6000          -7.0255      -7.1101       0.0846   654.8
2.7000          -7.0214      -7.1141       0.0927   717.3
2.8000          -7.0173      -7.1152       0.0979   757.6
2.9000          -7.0150      -7.1003       0.0853   660.2
3.0000          -7.0115      -7.1047       0.0932   721.4
3.1000          -7.0058      -7.1028       0.0970   750.2
3.2000          -6.9995      -7.0897       0.0901   697.2
3.3000          -6.9982      -7.1067       0.1085   839.7
3.4000          -6.9981      -7.0715       0.0734   568.1
3.5000          -6.9961      -7.1144       0.1183   915.3
3.6000          -6.9964      -7.1183       0.1219   943.0
3.7000          -6.9960      -7.0938       0.0978   756.6
3.8000          -6.9872      -7.0987       0.1115   862.7
3.9000          -6.9811      -7.0891       0.1080   835.7
4.0000          -6.9773      -7.0809       0.1036   801.2
4.1000          -6.9727      -7.0719       0.0992   767.4
4.2000          -6.9726      -7.0803       0.1077   833.2
4.3000          -6.9658      -7.0577       0.0918   710.4
4.4000          -6.9574      -7.0841       0.1267   980.1
4.5000          -6.9554      -7.0690       0.1137   879.3
4.6000          -6.9499      -7.0770       0.1270   982.6
4.7000          -6.9452      -7.0770       0.1318  1019.6
4.8000          -6.9404      -7.0460       0.1056   816.8
4.9000          -6.9368      -7.0696       0.1327  1026.7
5.0000          -6.9361      -7.0556       0.1194   923.9
5.1000          -6.9348      -7.0570       0.1221   944.7
