Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.6953      -6.7424       0.0471   364.2
0.1000          -6.6592      -6.7195       0.0602   465.8
0.2000          -6.5786      -6.7387       0.1601  1238.5
0.3000          -6.6680      -6.9340       0.2660  2057.7
0.4000          -6.6152      -6.9412       0.3261  2522.6
0.5000          -6.4931      -6.8046       0.3115  2409.8
0.6000          -6.3638      -6.7430       0.3793  2934.2
0.7000          -6.2042      -6.7053       0.5011  3876.6
0.8000          -5.9880      -6.5204       0.5323  4118.4
0.9000          -5.8183      -6.5028       0.6845  5295.3
1.0000          -5.6775      -6.4193       0.7418  5738.8
1.1000          -5.5701      -6.3409       0.7708  5963.6
1.2000          -5.5639      -6.2716       0.7077  5475.0
1.3000          -5.5093      -6.2885       0.7791  6027.7
1.4000          -5.4705      -6.2761       0.8057  6232.9
1.5000          -5.4459      -6.2415       0.7956  6155.4
1.6000          -5.4875      -6.2994       0.8119  6281.1
1.7000          -5.5383      -6.2055       0.6671  5161.1
1.8000          -5.5234      -6.3145       0.7911  6120.5
1.9000          -5.5131      -6.3553       0.8422  6515.4
2.0000          -5.5190      -6.2424       0.7235  5597.1
2.1000          -5.5055      -6.3457       0.8402  6500.1
2.2000          -5.5313      -6.2189       0.6876  5319.8
2.3000          -5.4971      -6.3128       0.8157  6310.7
2.4000          -5.5088      -6.2905       0.7817  6047.6
2.5000          -5.4893      -6.3270       0.8378  6481.2
2.6000          -5.5495      -6.2401       0.6905  5342.2
2.7000          -5.5268      -6.2506       0.7238  5599.3
2.8000          -5.5362      -6.3770       0.8408  6505.0
2.9000          -5.4750      -6.1449       0.6698  5182.1
3.0000          -5.5077      -6.4255       0.9178  7100.7
3.1000          -5.5455      -6.3518       0.8063  6238.1
3.2000          -5.4989      -6.4248       0.9260  7163.5
3.3000          -5.5635      -6.4213       0.8577  6635.8
3.4000          -5.5947      -6.4184       0.8238  6373.0
3.5000          -5.5880      -6.3662       0.7782  6020.3
3.6000          -5.4300      -6.2675       0.8375  6479.1
3.7000          -5.4790      -6.4010       0.9220  7133.2
3.8000          -5.4374      -6.2339       0.7965  6162.0
3.9000          -5.3776      -6.0088       0.6312  4883.5
4.0000          -5.3594      -6.0382       0.6788  5251.2
4.1000          -5.3907      -6.1014       0.7107  5498.4
4.2000          -5.5080      -6.3931       0.8851  6847.7
4.3000          -5.6164      -6.4487       0.8323  6438.8
4.4000          -5.6992      -6.5766       0.8774  6788.0
4.5000          -5.7161      -6.3729       0.6568  5080.9
4.6000          -5.7583      -6.6946       0.9363  7243.7
4.7000          -5.7202      -6.4117       0.6915  5349.6
4.8000          -5.5672      -6.1393       0.5720  4425.3
4.9000          -5.5148      -6.4034       0.8887  6875.0
5.0000          -5.4331      -6.4491       1.0160  7860.2
5.1000          -5.4769      -6.2277       0.7508  5808.5
5.2000          -5.4074      -6.1884       0.7811  6042.7
5.3000          -5.4582      -6.4420       0.9837  7610.6
5.4000          -5.4078      -6.2337       0.8259  6389.6
5.5000          -5.3759      -6.2217       0.8457  6542.9
5.6000          -5.4262      -6.0700       0.6438  4980.7
5.7000          -5.3751      -6.1617       0.7866  6085.3
5.8000          -5.5017      -6.3966       0.8949  6922.9
5.9000          -5.5905      -6.5315       0.9409  7279.4
6.0000          -5.5800      -6.3426       0.7626  5899.6
6.1000          -5.6311      -6.5543       0.9232  7142.2
6.2000          -5.7478      -6.5258       0.7780  6019.3
6.3000          -5.8042      -6.5797       0.7755  5999.3
6.4000          -5.8846      -6.5214       0.6368  4926.8
6.5000          -5.9453      -6.6413       0.6960  5384.8
6.6000          -6.0256      -6.7521       0.7265  5620.7
6.7000          -6.0905      -6.7444       0.6539  5058.7
6.8000          -6.1698      -6.7659       0.5961  4611.5
6.9000          -6.2484      -6.8536       0.6052  4681.9
7.0000          -6.3480      -6.7691       0.4211  3258.0
7.1000          -6.4121      -6.8142       0.4021  3111.1
7.2000          -6.4801      -6.9463       0.4662  3606.5
7.3000          -6.5551      -6.8454       0.2903  2245.9
7.4000          -6.6212      -6.8910       0.2699  2087.8
7.5000          -6.7011      -6.9791       0.2780  2150.8
7.6000          -6.7701      -6.9821       0.2120  1640.2
7.7000          -6.8341      -7.0124       0.1783  1379.5
7.8000          -6.9206      -7.0952       0.1746  1350.7
7.9000          -7.0009      -7.1196       0.1187   918.3
8.0000          -7.0787      -7.1281       0.0493   381.7
