early_stopping/best_valid_loss,early_stopping/checks_since_best,early_stopping/distance_above_best,epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,offset/C,scale/many-body/C,step,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise,valid/metrics/stress_mae,valid/metrics/stress_rmse,valid/metrics/virial_mae,valid/metrics/virial_rmse
,,,,,,106074,106076,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-6.956326007843018,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9.536931991577148,1,,,,,,,,,,,,,,,,,,,,,,,,
3.63259220123291,0,0.0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.01,0.01,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,49,1.3927576541900635,,718.0,,1.6285629272460938,0.3953670561313629,2.023930072784424,1.6285629272460938,0.3953670561313629,,,,,,,,,,,,,,,
,,,,,,,,-6.628772735595703,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9.50758171081543,1,,,,,,,,,,,,,,,,,,,,,,,,
1.8533105850219727,0,0.0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,93,,3.0089688301086426,,347.7105407714844,,,,,,1.5196894407272339,0.3288014233112335,1.8533105850219727,16.409679412841797,29.78544044494629,1.0758354663848877,1.5268300771713257,1.5196894407272339,0.24892239272594452,0.3442264795303345,0.3288014233112335,0.06388368457555771,0.1386307328939438,28.28822135925293,77.78824615478516
,,,,0.01,0.01,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,99,0.6622516512870789,,1510.0,,1.4172797203063965,0.38318467140197754,1.800464391708374,1.4172797203063965,0.38318467140197754,,,,,,,,,,,,,,,
,,,1,,,,,,,149,1.3755158185958862,,727.0,,1.5857855081558228,1.1622596979141235,2.7480452060699463,1.5857855081558228,1.1622596979141235,,,,,,,,,,,,,,,
,,,,,,,,-6.443881034851074,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9.467133522033691,1,,,,,,,,,,,,,,,,,,,,,,,,
1.574153184890747,0,0.0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,187,,2.9941797256469727,,355.84210205078125,,,,,,1.2727391719818115,0.30021044611930847,1.574153184890747,15.619365692138672,25.844945907592773,0.9210560321807861,1.2776650190353394,1.2727391719818115,0.23781241476535797,0.3228287100791931,0.30021044611930847,0.0500807948410511,0.10952668637037277,21.1016788482666,58.568023681640625
,,,,0.01,0.01,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,199,1.490312933921814,,671.0,,1.3673648834228516,0.2799146771430969,1.6472795009613037,1.3673648834228516,0.2799146771430969,,,,,,,,,,,,,,,
,,,2,,,,,,,249,0.9832841753959656,,1017.0,,1.1547434329986572,0.20993812382221222,1.364681601524353,1.1547434329986572,0.20993812382221222,,,,,,,,,,,,,,,
,,,,,,,,-6.2871599197387695,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9.423039436340332,1,,,,,,,,,,,,,,,,,,,,,,,,
1.4812572002410889,0,0.0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,281,,2.7127182483673096,,388.0789489746094,,,,,,1.1990586519241333,0.2785259187221527,1.4812572002410889,13.823366165161133,22.970993041992188,0.8522661328315735,1.20498788356781,1.1990586519241333,0.21479709446430206,0.2977057993412018,0.2785259187221527,0.05195806547999382,0.11138451844453812,23.455810546875,62.734825134277344
,,,,0.01,0.01,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,299,1.1415525674819946,,876.0,,1.3035900592803955,0.23788180947303772,1.5414718389511108,1.3035900592803955,0.23788180947303772,,,,,,,,,,,,,,,
,,,3,,,,,,,349,0.5219206809997559,,1916.0,,1.233079433441162,0.25593340396881104,1.4890128374099731,1.233079433441162,0.25593340396881104,,,,,,,,,,,,,,,
,,,,,,,,-6.1473236083984375,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9.393494606018066,1,,,,,,,,,,,,,,,,,,,,,,,,
1.343414306640625,0,0.0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,375,,3.152104139328003,,329.1052551269531,,,,,,1.0895161628723145,0.25034093856811523,1.343414306640625,12.480796813964844,20.266761779785156,0.7876346111297607,1.0935014486312866,1.0895161628723145,0.19693654775619507,0.27168160676956177,0.25034093856811523,0.04480985179543495,0.09044240415096283,19.357397079467773,45.32404708862305
