epoch,lr-Adam/non-decayable,lr-Adam/normal,n_learnable_parameters,n_parameters,offset/C,step,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/train/stress_mae,test/train/stress_rmse,test/train/virial_mae,test/train/virial_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,test/valid/stress_mae,test/valid/stress_rmse,test/valid/virial_mae,test/valid/virial_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise,valid/metrics/stress_mae,valid/metrics/stress_rmse,valid/metrics/virial_mae,valid/metrics/virial_rmse
,,,3847698,3847698,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.101136684417725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0001,0.0001,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.101082801818848,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,0.2243606150150299,,4569.0,,,,,,0.7221440076828003,0.09846962988376617,0.8867502212524414,1.6332143545150757,2.16184663772583,0.5530340671539307,0.7650156021118164,0.7221440076828003,0.06473598629236221,0.11113502830266953,0.09846962988376617,0.014052266255021095,0.024674559012055397,4.216894626617432,7.064861297607422
,0.0001,0.0001,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.100616455078125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,0.23200005292892456,,4429.5,,,,,,0.7186864614486694,0.08942689746618271,0.8734039068222046,1.567978858947754,2.122807741165161,0.55083167552948,0.760688066482544,0.7186864614486694,0.05784783512353897,0.10329847037792206,0.08942689746618271,0.015123570337891579,0.02818634733557701,4.389951705932617,7.475334167480469
,0.0001,0.0001,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.100170612335205,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,0.25262516736984253,,4138.0,,,,,,0.7083871364593506,0.09008882939815521,0.8639733195304871,1.9570558071136475,2.8197357654571533,0.542443037033081,0.7512274980545044,0.7083871364593506,0.059446047991514206,0.10040736198425293,0.09008882939815521,0.015633683651685715,0.030280422419309616,4.794241428375244,8.378748893737793
,0.0001,0.0001,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099928379058838,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,0.23899200558662415,,4517.0,,,,,,0.6969670653343201,0.08723245561122894,0.8500578999519348,1.8083165884017944,2.676220417022705,0.5331562161445618,0.7409350872039795,0.6969670653343201,0.05484165996313095,0.09670703858137131,0.08723245561122894,0.01632288098335266,0.03243941441178322,5.286928176879883,9.770147323608398
,0.0001,0.0001,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,0.09664636850357056,,10347.0,,0.8172430992126465,0.03642994910478592,0.8536730408668518,0.8172430992126465,0.03642994910478592,,,,,,,,,,,,,,,
,,,,,-7.099775314331055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,0.24362780153751373,,4258.5,,,,,,0.6903496980667114,0.08308255672454834,0.8392919301986694,1.6391130685806274,2.3165295124053955,0.5277765393257141,0.7347155213356018,0.6903496980667114,0.05368981510400772,0.09204403311014175,0.08308255672454834,0.017379645258188248,0.03501996770501137,5.618106365203857,10.823725700378418
,0.0001,0.0001,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
