Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.2847      -7.3168       0.0321   248.1
0.1000          -7.2529      -7.3343       0.0815   630.2
0.2000          -7.1454      -7.2574       0.1120   866.1
0.3000          -7.0144      -7.2124       0.1981  1532.3
0.4000          -6.8737      -7.0958       0.2221  1718.1
0.5000          -6.7337      -7.0819       0.3482  2694.1
0.6000          -6.5977      -6.9803       0.3826  2959.7
0.7000          -6.4615      -6.9651       0.5035  3895.6
0.8000          -6.3161      -6.9209       0.6049  4679.4
0.9000          -6.1880      -6.8268       0.6388  4941.8
1.0000          -6.0486      -6.7879       0.7393  5719.4
1.1000          -5.9677      -6.7924       0.8247  6380.2
1.2000          -5.9347      -6.5977       0.6631  5129.6
1.3000          -5.9272      -6.7468       0.8196  6340.8
1.4000          -5.9332      -6.7750       0.8418  6512.7
1.5000          -5.9216      -6.7167       0.7951  6151.3
1.6000          -5.9162      -6.6879       0.7717  5969.8
1.7000          -5.9160      -6.7382       0.8222  6360.7
1.8000          -5.9012      -6.6776       0.7764  6006.8
1.9000          -5.9152      -6.6577       0.7426  5744.7
2.0000          -5.9270      -6.6447       0.7177  5552.6
2.1000          -5.9030      -6.6541       0.7511  5810.9
2.2000          -5.8798      -6.6476       0.7678  5940.0
2.3000          -5.8800      -6.7353       0.8552  6616.4
2.4000          -5.8747      -6.6702       0.7955  6154.3
2.5000          -5.8633      -6.6625       0.7992  6183.0
2.6000          -5.8198      -6.4951       0.6754  5224.8
2.7000          -5.8412      -6.6678       0.8265  6394.4
2.8000          -5.7920      -6.5562       0.7642  5911.8
2.9000          -5.7806      -6.5375       0.7568  5855.1
3.0000          -5.7681      -6.4958       0.7276  5629.3
3.1000          -5.7626      -6.5607       0.7981  6174.1
3.2000          -5.7628      -6.5714       0.8086  6255.8
3.3000          -5.7637      -6.5629       0.7992  6182.7
3.4000          -5.7753      -6.5969       0.8216  6356.1
3.5000          -5.7879      -6.5821       0.7942  6144.2
3.6000          -5.7786      -6.5674       0.7888  6102.5
3.7000          -5.7544      -6.5767       0.8223  6361.5
3.8000          -5.7365      -6.4961       0.7596  5876.2
3.9000          -5.7656      -6.6612       0.8956  6928.7
4.0000          -5.7684      -6.3950       0.6266  4847.2
4.1000          -5.7566      -6.5493       0.7927  6132.4
4.2000          -5.7756      -6.6017       0.8262  6391.5
4.3000          -5.7607      -6.5403       0.7796  6031.4
4.4000          -5.7866      -6.6291       0.8425  6517.5
4.5000          -5.7438      -6.4957       0.7518  5816.6
4.6000          -5.7121      -6.4697       0.7576  5861.0
4.7000          -5.7349      -6.5405       0.8056  6232.1
4.8000          -5.7156      -6.4904       0.7749  5994.8
4.9000          -5.7602      -6.6062       0.8460  6545.1
5.0000          -5.7739      -6.4815       0.7075  5473.7
5.1000          -5.7840      -6.6384       0.8545  6610.3
5.2000          -5.7304      -6.5234       0.7930  6134.8
5.3000          -5.7316      -6.5145       0.7829  6056.4
5.4000          -5.7476      -6.4734       0.7258  5614.8
5.5000          -5.7352      -6.4977       0.7624  5898.4
5.6000          -5.7202      -6.4166       0.6964  5387.4
5.7000          -5.6878      -6.4428       0.7550  5841.3
5.8000          -5.7171      -6.4282       0.7111  5501.2
5.9000          -5.7444      -6.5661       0.8217  6357.2
6.0000          -5.7372      -6.5096       0.7724  5975.7
6.1000          -5.7758      -6.4956       0.7198  5568.5
6.2000          -5.8397      -6.5920       0.7524  5820.5
6.3000          -5.8870      -6.6198       0.7328  5669.1
6.4000          -5.9321      -6.4725       0.5404  4180.9
6.5000          -5.9902      -6.5923       0.6021  4658.1
6.6000          -6.1074      -6.6598       0.5524  4273.8
6.7000          -6.2016      -6.7968       0.5952  4604.6
6.8000          -6.2895      -6.8277       0.5383  4164.3
6.9000          -6.3688      -6.8093       0.4405  3408.1
7.0000          -6.4427      -6.9089       0.4662  3606.5
7.1000          -6.5329      -6.9481       0.4151  3211.6
7.2000          -6.6117      -6.9886       0.3770  2916.4
7.3000          -6.6913      -7.0216       0.3303  2555.2
7.4000          -6.7711      -7.0911       0.3199  2475.1
7.5000          -6.8515      -7.1085       0.2570  1988.6
7.6000          -6.9258      -7.1491       0.2233  1727.5
7.7000          -7.0090      -7.1881       0.1791  1385.4
7.8000          -7.0823      -7.2215       0.1392  1076.7
7.9000          -7.1615      -7.2723       0.1108   856.8
8.0000          -7.2370      -7.3170       0.0800   619.0
