       Step     Time          Energy          fmax
LBFGS:    0 09:13:56     -526.810541        6.786759
LBFGS:    1 09:13:56     -522.906833       13.874596
LBFGS:    2 09:13:56     -531.058523        4.645238
LBFGS:    3 09:13:56     -528.947842        8.447428
LBFGS:    4 09:13:56     -531.849610        1.574482
LBFGS:    5 09:13:56     -531.490559        3.455908
LBFGS:    6 09:13:56     -531.992378        0.587356
LBFGS:    7 09:13:57     -531.972882        1.395326
LBFGS:    8 09:13:57     -532.025626        0.301566
LBFGS:    9 09:13:57     -532.033997        0.522680
LBFGS:   10 09:13:57     -532.050778        0.272985
LBFGS:   11 09:13:57     -532.060000        0.401068
LBFGS:   12 09:13:57     -532.068505        0.263642
LBFGS:   13 09:13:57     -532.075295        0.272915
LBFGS:   14 09:13:57     -532.079527        0.352644
LBFGS:   15 09:13:57     -532.088884        0.125720
LBFGS:   16 09:13:57     -532.095033        0.188837
LBFGS:   17 09:13:57     -532.101656        0.425209
LBFGS:   18 09:13:58     -532.113799        0.278122
LBFGS:   19 09:13:58     -532.123731        0.405835
LBFGS:   20 09:13:58     -532.123632        0.379420
LBFGS:   21 09:13:58     -532.128785        0.215158
LBFGS:   22 09:13:58     -532.128527        0.183795
LBFGS:   23 09:13:58     -532.130112        0.021360
