       Step     Time          Energy          fmax
LBFGS:    0 17:04:14     -148.980515       29.486764
LBFGS:    1 17:04:15     -162.261556       19.348072
LBFGS:    2 17:04:15     -167.875301       18.476666
LBFGS:    3 17:04:15     -169.790493       15.354589
LBFGS:    4 17:04:15     -173.416526       12.137334
LBFGS:    5 17:04:15     -176.256412       12.532230
LBFGS:    6 17:04:15     -178.416469        6.741152
LBFGS:    7 17:04:15     -179.269253        9.202748
LBFGS:    8 17:04:15     -178.811306       21.028326
LBFGS:    9 17:04:15     -178.627170       10.331588
LBFGS:   10 17:04:15     -179.586604        4.837769
LBFGS:   11 17:04:15     -180.124008       11.538687
LBFGS:   12 17:04:15     -179.404008        7.202155
LBFGS:   13 17:04:15     -180.307639        3.103779
LBFGS:   14 17:04:15     -180.350453        3.870321
LBFGS:   15 17:04:15     -180.454650        4.481897
LBFGS:   16 17:04:15     -180.480905        2.487066
LBFGS:   17 17:04:15     -180.531629        0.726036
LBFGS:   18 17:04:15     -180.455078       10.733771
LBFGS:   19 17:04:15     -180.518719        1.099136
LBFGS:   20 17:04:16     -180.487712        1.536163
LBFGS:   21 17:04:16     -180.545396        0.871187
LBFGS:   22 17:04:16     -180.547814        0.956910
LBFGS:   23 17:04:16     -180.523047        5.901169
LBFGS:   24 17:04:16     -180.550495        0.629083
LBFGS:   25 17:04:16     -180.550990        0.164039
LBFGS:   26 17:04:16     -180.551041        0.274222
LBFGS:   27 17:04:16     -180.551176        0.112265
LBFGS:   28 17:04:16     -180.551238        0.026476
