Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -5.4808      -5.5178       0.0370   286.2
0.1000          -6.2833      -6.5970       0.3137  2426.8
0.2000          -6.5886      -6.6832       0.0946   731.7
0.3000          -6.7027      -6.7788       0.0761   588.6
0.4000          -6.7421      -6.7931       0.0509   394.1
0.5000          -6.7572      -6.8000       0.0428   331.4
0.6000          -6.7628      -6.8124       0.0496   383.9
0.7000          -6.7654      -6.8054       0.0399   309.1
0.8000          -6.7663      -6.8125       0.0462   357.5
0.9000          -6.7664      -6.8050       0.0386   298.8
1.0000          -6.7651      -6.8097       0.0446   344.9
1.1000          -6.7648      -6.8092       0.0445   344.1
1.2000          -6.7637      -6.7991       0.0354   274.1
1.3000          -6.7655      -6.8026       0.0370   286.4
1.4000          -6.7656      -6.8078       0.0422   326.2
1.5000          -6.7671      -6.8036       0.0366   282.9
1.6000          -6.7649      -6.8097       0.0449   347.1
1.7000          -6.7662      -6.8070       0.0408   315.5
1.8000          -6.7669      -6.8069       0.0401   309.9
1.9000          -6.7660      -6.8061       0.0401   310.3
2.0000          -6.7664      -6.8075       0.0411   317.7
2.1000          -6.7662      -6.8076       0.0415   320.7
2.2000          -6.7652      -6.8058       0.0406   314.2
2.3000          -6.7660      -6.8082       0.0422   326.5
2.4000          -6.7655      -6.8022       0.0367   283.8
2.5000          -6.7641      -6.8054       0.0413   319.7
2.6000          -6.7655      -6.8076       0.0422   326.1
2.7000          -6.7656      -6.8126       0.0469   363.2
2.8000          -6.7662      -6.8071       0.0409   316.4
2.9000          -6.7654      -6.8029       0.0375   289.8
3.0000          -6.7662      -6.8027       0.0364   282.0
3.1000          -6.7662      -6.8059       0.0397   306.8
3.2000          -6.7664      -6.8060       0.0396   306.7
3.3000          -6.7656      -6.7985       0.0328   254.1
3.4000          -6.7644      -6.7996       0.0352   272.5
3.5000          -6.7654      -6.7993       0.0339   262.4
3.6000          -6.7660      -6.8015       0.0355   274.6
3.7000          -6.7654      -6.8104       0.0451   348.7
3.8000          -6.7660      -6.8045       0.0385   298.1
3.9000          -6.7667      -6.7994       0.0327   253.0
4.0000          -6.7663      -6.8089       0.0426   329.4
4.1000          -6.7657      -6.8003       0.0346   267.4
4.2000          -6.7654      -6.8062       0.0408   315.7
4.3000          -6.7642      -6.8059       0.0418   323.0
4.4000          -6.7655      -6.7979       0.0324   251.0
4.5000          -6.7660      -6.8106       0.0446   345.0
4.6000          -6.7669      -6.8030       0.0361   279.6
4.7000          -6.7679      -6.7981       0.0302   233.6
4.8000          -6.7672      -6.8059       0.0387   299.1
4.9000          -6.7667      -6.8080       0.0413   319.6
5.0000          -6.7662      -6.8079       0.0417   322.6
