Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.3993      -6.4468       0.0475   367.3
0.1000          -6.7012      -7.0031       0.3019  2335.7
0.2000          -6.8934      -7.1206       0.2272  1757.9
0.3000          -7.0108      -7.1744       0.1637  1266.1
0.4000          -7.0935      -7.2036       0.1100   851.2
0.5000          -7.1425      -7.2263       0.0838   648.3
0.6000          -7.1698      -7.2542       0.0844   653.3
0.7000          -7.1855      -7.2522       0.0667   515.9
0.8000          -7.1934      -7.2593       0.0659   510.0
0.9000          -7.1973      -7.2516       0.0542   419.6
1.0000          -7.1973      -7.2447       0.0474   366.8
1.1000          -7.1971      -7.2553       0.0582   450.0
1.2000          -7.1945      -7.2436       0.0491   379.8
1.3000          -7.1920      -7.2552       0.0632   489.0
1.4000          -7.1894      -7.2556       0.0662   512.2
1.5000          -7.1859      -7.2535       0.0676   523.2
1.6000          -7.1825      -7.2546       0.0721   558.0
1.7000          -7.1794      -7.2351       0.0557   430.7
1.8000          -7.1756      -7.2326       0.0569   440.3
1.9000          -7.1727      -7.2327       0.0599   463.5
2.0000          -7.1686      -7.2442       0.0756   584.8
2.1000          -7.1654      -7.2367       0.0713   551.6
2.2000          -7.1618      -7.2444       0.0826   639.3
2.3000          -7.1582      -7.2399       0.0818   632.6
2.4000          -7.1543      -7.2297       0.0754   583.7
2.5000          -7.1513      -7.2392       0.0880   680.6
2.6000          -7.1480      -7.2369       0.0888   687.2
2.7000          -7.1447      -7.2300       0.0853   660.1
2.8000          -7.1413      -7.2209       0.0796   615.7
2.9000          -7.1379      -7.2286       0.0907   702.0
3.0000          -7.1336      -7.2131       0.0795   615.1
3.1000          -7.1297      -7.2100       0.0802   620.7
3.2000          -7.1270      -7.2428       0.1158   895.7
3.3000          -7.1232      -7.2272       0.1041   805.1
3.4000          -7.1193      -7.2316       0.1123   868.8
3.5000          -7.1157      -7.2087       0.0930   719.2
3.6000          -7.1127      -7.2143       0.1016   786.1
3.7000          -7.1090      -7.2140       0.1050   812.2
3.8000          -7.1055      -7.2241       0.1186   917.6
3.9000          -7.1018      -7.2225       0.1207   934.0
4.0000          -7.0982      -7.2033       0.1051   813.1
4.1000          -7.0944      -7.1988       0.1044   807.5
4.2000          -7.0917      -7.1750       0.0833   644.2
4.3000          -7.0886      -7.1964       0.1078   833.6
4.4000          -7.0843      -7.1825       0.0982   759.6
4.5000          -7.0809      -7.2045       0.1235   955.7
4.6000          -7.0762      -7.1944       0.1182   914.5
4.7000          -7.0741      -7.1887       0.1146   886.4
4.8000          -7.0701      -7.1841       0.1140   881.8
4.9000          -7.0664      -7.1876       0.1212   937.3
5.0000          -7.0634      -7.1882       0.1248   965.5
5.1000          -7.0596      -7.2061       0.1466  1133.9
5.2000          -7.0557      -7.1564       0.1007   779.1
5.3000          -7.0516      -7.1729       0.1213   938.2
5.4000          -7.0488      -7.1809       0.1321  1021.9
5.5000          -7.0451      -7.1659       0.1208   934.7
5.6000          -7.0416      -7.1567       0.1151   890.7
5.7000          -7.0377      -7.1751       0.1373  1062.4
5.8000          -7.0344      -7.1594       0.1250   967.4
5.9000          -7.0312      -7.1945       0.1633  1263.5
6.0000          -7.0275      -7.1663       0.1388  1074.2
6.1000          -7.0244      -7.1557       0.1313  1015.4
6.2000          -7.0211      -7.1504       0.1293  1000.1
6.3000          -7.0183      -7.1858       0.1676  1296.5
6.4000          -7.0141      -7.1533       0.1392  1077.2
6.5000          -7.0104      -7.1612       0.1508  1166.3
6.6000          -7.0064      -7.1418       0.1354  1047.6
6.7000          -7.0031      -7.1476       0.1445  1118.2
6.8000          -6.9998      -7.1412       0.1414  1094.1
6.9000          -6.9968      -7.1768       0.1800  1392.4
7.0000          -6.9917      -7.1734       0.1817  1405.9
7.1000          -6.9894      -7.1488       0.1595  1233.8
7.2000          -6.9859      -7.1351       0.1492  1154.2
7.3000          -6.9821      -7.1511       0.1690  1307.6
7.4000          -6.9780      -7.1266       0.1487  1150.1
7.5000          -6.9746      -7.1527       0.1781  1377.8
7.6000          -6.9703      -7.1325       0.1622  1254.8
7.7000          -6.9668      -7.1399       0.1731  1339.3
7.8000          -6.9635      -7.1331       0.1697  1312.7
7.9000          -6.9617      -7.1278       0.1661  1285.2
8.0000          -6.9575      -7.1316       0.1741  1346.8
8.1000          -6.9531      -7.1644       0.2112  1634.2
8.2000          -6.9480      -7.1045       0.1565  1210.9
8.3000          -6.9472      -7.1227       0.1755  1357.6
8.4000          -6.9430      -7.0869       0.1439  1113.3
8.5000          -6.9393      -7.1391       0.1998  1545.4
8.6000          -6.9356      -7.1419       0.2064  1596.5
8.7000          -6.9322      -7.1207       0.1886  1458.9
