       Step     Time          Energy          fmax
LBFGS:    0 12:32:05     -174.063278       11.132188
LBFGS:    1 12:32:05     -184.173355        6.060854
LBFGS:    2 12:32:05     -188.821625        5.233254
LBFGS:    3 12:32:05     -190.628815        3.187909
LBFGS:    4 12:32:05     -192.883606        4.868629
LBFGS:    5 12:32:05     -193.925690        3.075758
LBFGS:    6 12:32:05     -194.873611        2.616115
LBFGS:    7 12:32:05     -195.402786        1.643319
LBFGS:    8 12:32:06     -195.584503        1.724416
LBFGS:    9 12:32:06     -195.899536        2.416198
LBFGS:   10 12:32:06     -195.973236        2.546010
LBFGS:   11 12:32:06     -196.245682        1.423112
LBFGS:   12 12:32:06     -196.354523        0.805077
LBFGS:   13 12:32:06     -196.406799        0.458327
LBFGS:   14 12:32:06     -196.419144        0.247928
LBFGS:   15 12:32:06     -196.428436        0.119334
LBFGS:   16 12:32:06     -196.430374        0.094286
LBFGS:   17 12:32:06     -196.431122        0.048315
