Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.4136      -6.4468       0.0332   257.1
0.1000          -6.8967      -7.1087       0.2120  1639.8
0.2000          -7.0870      -7.1981       0.1111   859.9
0.3000          -7.1778      -7.2462       0.0684   529.1
0.4000          -7.2123      -7.2606       0.0483   373.6
0.5000          -7.2251      -7.2706       0.0456   352.5
0.6000          -7.2305      -7.2795       0.0490   379.3
0.7000          -7.2312      -7.2676       0.0364   281.6
0.8000          -7.2315      -7.2690       0.0375   290.4
0.9000          -7.2323      -7.2684       0.0361   279.4
1.0000          -7.2322      -7.2759       0.0437   338.0
1.1000          -7.2316      -7.2714       0.0399   308.4
1.2000          -7.2321      -7.2728       0.0406   314.3
1.3000          -7.2319      -7.2692       0.0373   288.3
1.4000          -7.2324      -7.2736       0.0412   319.1
1.5000          -7.2322      -7.2697       0.0375   290.1
1.6000          -7.2320      -7.2638       0.0318   246.4
1.7000          -7.2322      -7.2711       0.0389   301.2
1.8000          -7.2317      -7.2794       0.0478   369.7
1.9000          -7.2322      -7.2706       0.0385   297.5
2.0000          -7.2320      -7.2714       0.0393   304.1
2.1000          -7.2324      -7.2733       0.0408   316.0
2.2000          -7.2323      -7.2779       0.0456   352.9
2.3000          -7.2322      -7.2697       0.0374   289.6
2.4000          -7.2320      -7.2692       0.0372   287.7
2.5000          -7.2323      -7.2679       0.0357   276.1
2.6000          -7.2322      -7.2785       0.0464   358.6
2.7000          -7.2322      -7.2680       0.0359   277.5
2.8000          -7.2318      -7.2716       0.0397   307.5
2.9000          -7.2322      -7.2764       0.0442   341.8
3.0000          -7.2322      -7.2757       0.0435   336.7
3.1000          -7.2323      -7.2710       0.0387   299.3
3.2000          -7.2326      -7.2661       0.0335   259.5
3.3000          -7.2324      -7.2705       0.0382   295.3
3.4000          -7.2323      -7.2777       0.0454   351.6
3.5000          -7.2317      -7.2734       0.0417   322.4
3.6000          -7.2317      -7.2664       0.0346   267.8
3.7000          -7.2319      -7.2668       0.0349   270.3
3.8000          -7.2320      -7.2715       0.0396   306.1
3.9000          -7.2323      -7.2728       0.0405   313.2
4.0000          -7.2324      -7.2691       0.0366   283.3
4.1000          -7.2322      -7.2637       0.0315   243.6
4.2000          -7.2323      -7.2703       0.0380   293.9
4.3000          -7.2314      -7.2692       0.0378   292.4
4.4000          -7.2319      -7.2692       0.0373   288.6
4.5000          -7.2321      -7.2712       0.0391   302.8
4.6000          -7.2320      -7.2720       0.0400   309.8
4.7000          -7.2319      -7.2723       0.0404   312.5
4.8000          -7.2318      -7.2806       0.0488   377.5
4.9000          -7.2325      -7.2715       0.0390   302.0
5.0000          -7.2315      -7.2705       0.0389   301.2
