Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.7030      -6.7424       0.0393   304.2
0.1000          -6.7123      -6.7425       0.0301   232.9
0.2000          -6.7160      -6.7576       0.0416   322.1
0.3000          -6.7172      -6.7529       0.0358   276.6
0.4000          -6.7179      -6.7487       0.0308   238.3
0.5000          -6.7173      -6.7629       0.0456   352.8
0.6000          -6.7184      -6.7701       0.0517   399.6
0.7000          -6.7182      -6.7637       0.0455   351.7
0.8000          -6.7183      -6.7660       0.0477   368.7
0.9000          -6.7185      -6.7602       0.0417   322.5
1.0000          -6.7182      -6.7624       0.0442   342.1
1.1000          -6.7185      -6.7647       0.0462   357.5
1.2000          -6.7186      -6.7524       0.0338   261.4
1.3000          -6.7182      -6.7568       0.0386   298.7
1.4000          -6.7178      -6.7634       0.0456   352.8
1.5000          -6.7183      -6.7591       0.0407   315.2
1.6000          -6.7177      -6.7571       0.0394   304.6
1.7000          -6.7179      -6.7526       0.0347   268.4
1.8000          -6.7179      -6.7567       0.0387   299.8
1.9000          -6.7179      -6.7586       0.0407   315.2
2.0000          -6.7182      -6.7547       0.0364   281.8
2.1000          -6.7182      -6.7568       0.0385   298.1
2.2000          -6.7183      -6.7575       0.0392   303.1
2.3000          -6.7180      -6.7648       0.0468   361.8
2.4000          -6.7178      -6.7645       0.0467   361.3
2.5000          -6.7180      -6.7592       0.0411   318.1
2.6000          -6.7179      -6.7427       0.0248   192.2
2.7000          -6.7180      -6.7587       0.0407   314.5
2.8000          -6.7188      -6.7553       0.0365   282.6
2.9000          -6.7188      -6.7548       0.0360   278.4
3.0000          -6.7185      -6.7560       0.0375   290.1
3.1000          -6.7184      -6.7564       0.0380   293.9
3.2000          -6.7183      -6.7544       0.0360   278.6
3.3000          -6.7181      -6.7588       0.0408   315.4
3.4000          -6.7180      -6.7508       0.0328   253.9
3.5000          -6.7181      -6.7556       0.0375   290.0
3.6000          -6.7186      -6.7625       0.0439   339.7
3.7000          -6.7184      -6.7577       0.0393   303.9
3.8000          -6.7187      -6.7569       0.0383   296.0
3.9000          -6.7184      -6.7547       0.0364   281.4
4.0000          -6.7184      -6.7562       0.0378   292.3
4.1000          -6.7182      -6.7567       0.0384   297.2
4.2000          -6.7183      -6.7527       0.0345   266.6
4.3000          -6.7186      -6.7576       0.0391   302.2
4.4000          -6.7180      -6.7545       0.0364   281.8
4.5000          -6.7183      -6.7581       0.0398   307.9
4.6000          -6.7182      -6.7561       0.0380   293.6
4.7000          -6.7187      -6.7569       0.0382   295.5
4.8000          -6.7178      -6.7504       0.0326   252.2
4.9000          -6.7182      -6.7565       0.0383   296.5
5.0000          -6.7182      -6.7570       0.0388   300.3
