Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.5738      -7.6078       0.0340   263.3
0.1000          -7.5478      -7.5778       0.0299   231.7
0.2000          -7.5379      -7.5642       0.0263   203.5
0.3000          -7.5349      -7.5754       0.0405   313.0
0.4000          -7.5333      -7.5630       0.0297   229.4
0.5000          -7.5328      -7.5694       0.0366   283.2
0.6000          -7.5332      -7.5801       0.0468   362.2
0.7000          -7.5328      -7.5653       0.0325   251.4
0.8000          -7.5327      -7.5708       0.0381   294.6
0.9000          -7.5328      -7.5709       0.0380   294.2
1.0000          -7.5324      -7.5680       0.0357   276.0
1.1000          -7.5334      -7.5775       0.0441   341.0
1.2000          -7.5336      -7.5771       0.0435   336.9
1.3000          -7.5329      -7.5719       0.0390   301.7
1.4000          -7.5328      -7.5749       0.0421   325.9
1.5000          -7.5324      -7.5740       0.0416   321.8
1.6000          -7.5325      -7.5672       0.0347   268.3
1.7000          -7.5331      -7.5767       0.0436   337.5
1.8000          -7.5326      -7.5764       0.0438   339.2
1.9000          -7.5325      -7.5660       0.0335   259.4
2.0000          -7.5327      -7.5769       0.0442   342.1
2.1000          -7.5323      -7.5700       0.0378   292.3
2.2000          -7.5324      -7.5693       0.0369   285.8
2.3000          -7.5334      -7.5783       0.0449   347.2
2.4000          -7.5321      -7.5686       0.0365   282.1
2.5000          -7.5317      -7.5685       0.0368   284.8
2.6000          -7.5321      -7.5771       0.0449   347.6
2.7000          -7.5318      -7.5646       0.0328   253.6
2.8000          -7.5325      -7.5720       0.0395   305.2
2.9000          -7.5330      -7.5748       0.0418   323.4
3.0000          -7.5321      -7.5716       0.0395   305.7
3.1000          -7.5327      -7.5728       0.0401   310.5
3.2000          -7.5324      -7.5663       0.0340   262.8
3.3000          -7.5325      -7.5688       0.0363   280.5
3.4000          -7.5336      -7.5675       0.0338   261.9
3.5000          -7.5325      -7.5739       0.0414   320.4
3.6000          -7.5321      -7.5735       0.0414   320.5
3.7000          -7.5326      -7.5801       0.0475   367.5
3.8000          -7.5323      -7.5770       0.0448   346.3
3.9000          -7.5326      -7.5698       0.0373   288.4
4.0000          -7.5331      -7.5706       0.0375   290.2
4.1000          -7.5323      -7.5748       0.0425   328.8
4.2000          -7.5322      -7.5725       0.0404   312.2
4.3000          -7.5324      -7.5695       0.0372   287.7
4.4000          -7.5318      -7.5728       0.0410   317.3
4.5000          -7.5326      -7.5674       0.0348   269.4
4.6000          -7.5327      -7.5655       0.0328   253.4
4.7000          -7.5324      -7.5690       0.0366   283.1
4.8000          -7.5328      -7.5796       0.0468   362.3
4.9000          -7.5331      -7.5700       0.0369   285.7
5.0000          -7.5325      -7.5667       0.0342   264.4
