Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -4.8348      -4.8810       0.0461   356.8
0.0500          -5.4330      -6.0237       0.5907  4569.6
0.1000          -5.8488      -6.2089       0.3600  2785.3
0.1500          -6.1028      -6.3725       0.2697  2086.4
0.2000          -6.2320      -6.4063       0.1743  1348.1
0.2500          -6.3010      -6.4595       0.1586  1226.9
0.3000          -6.3204      -6.4930       0.1727  1335.8
0.3500          -6.3141      -6.5161       0.2019  1562.3
0.4000          -6.2905      -6.4960       0.2055  1590.1
0.4500          -6.2535      -6.4407       0.1872  1448.2
0.5000          -6.2205      -6.4326       0.2121  1640.9
0.5500          -6.1667      -6.4317       0.2650  2050.2
0.6000          -6.1229      -6.4543       0.3315  2564.3
0.6500          -6.0784      -6.3386       0.2602  2013.2
0.7000          -6.0259      -6.3835       0.3576  2766.2
0.7500          -5.9811      -6.3198       0.3387  2620.1
0.8000          -5.9305      -6.3332       0.4027  3115.1
0.8500          -5.8862      -6.2720       0.3858  2984.8
0.9000          -5.8256      -6.3343       0.5088  3936.0
0.9500          -5.7828      -6.1637       0.3809  2946.5
1.0000          -5.7259      -6.2567       0.5308  4106.3
1.0500          -5.6894      -6.2251       0.5357  4144.4
1.1000          -5.6679      -6.1683       0.5004  3871.5
1.1500          -5.6518      -6.1356       0.4838  3742.7
1.2000          -5.6372      -6.1357       0.4985  3856.6
1.2500          -5.6515      -6.1265       0.4751  3675.2
1.3000          -5.6632      -6.1700       0.5068  3920.8
1.3500          -5.6504      -6.2242       0.5738  4439.4
1.4000          -5.6572      -6.1454       0.4881  3776.5
1.4500          -5.6616      -6.1962       0.5347  4136.3
1.5000          -5.6658      -6.1710       0.5051  3907.7
1.5500          -5.6907      -6.1406       0.4498  3480.1
1.6000          -5.6953      -6.2603       0.5650  4371.2
1.6500          -5.7080      -6.2038       0.4959  3836.3
1.7000          -5.6726      -6.2216       0.5489  4246.7
1.7500          -5.7044      -6.1669       0.4625  3578.0
1.8000          -5.6897      -6.2419       0.5522  4272.0
1.8500          -5.6813      -6.2089       0.5276  4081.3
1.9000          -5.6569      -6.2188       0.5619  4347.3
1.9500          -5.6454      -6.0966       0.4512  3490.4
2.0000          -5.6556      -6.2018       0.5463  4226.1
2.0500          -5.6814      -6.2019       0.5205  4026.6
2.1000          -5.6942      -6.2584       0.5642  4364.9
2.1500          -5.6920      -6.2237       0.5317  4113.5
2.2000          -5.6898      -6.2079       0.5181  4008.6
2.2500          -5.7062      -6.3195       0.6133  4744.6
2.3000          -5.7204      -6.2008       0.4805  3717.2
2.3500          -5.7113      -6.1277       0.4163  3221.0
2.4000          -5.7208      -6.2071       0.4863  3762.2
2.4500          -5.7369      -6.3126       0.5758  4454.2
2.5000          -5.7488      -6.3382       0.5893  4559.3
2.5500          -5.7539      -6.3242       0.5703  4412.0
2.6000          -5.7767      -6.3413       0.5646  4367.9
2.6500          -5.7540      -6.2483       0.4943  3824.4
2.7000          -5.7599      -6.2834       0.5235  4050.2
2.7500          -5.7664      -6.2980       0.5316  4112.5
2.8000          -5.7662      -6.3427       0.5766  4460.5
2.8500          -5.7565      -6.2043       0.4477  3463.7
2.9000          -5.7360      -6.3301       0.5941  4596.2
2.9500          -5.7335      -6.1594       0.4259  3294.7
3.0000          -5.7365      -6.2077       0.4713  3645.8
3.0500          -5.7290      -6.2211       0.4921  3807.3
3.1000          -5.7495      -6.3415       0.5920  4579.8
3.1500          -5.7543      -6.2705       0.5162  3993.1
3.2000          -5.7542      -6.2668       0.5126  3965.7
3.2500          -5.7614      -6.3376       0.5762  4457.8
3.3000          -5.7629      -6.2963       0.5334  4126.7
3.3500          -5.7520      -6.2565       0.5044  3902.6
3.4000          -5.7670      -6.2382       0.4712  3645.7
3.4500          -5.7689      -6.3816       0.6127  4740.1
3.5000          -5.7776      -6.4361       0.6586  5095.1
3.5500          -5.7820      -6.2929       0.5109  3952.8
3.6000          -5.8131      -6.3567       0.5437  4206.0
3.6500          -5.8404      -6.3456       0.5052  3908.2
3.7000          -5.8886      -6.3269       0.4382  3390.4
3.7500          -5.9390      -6.3297       0.3907  3022.5
3.8000          -5.9711      -6.4377       0.4666  3610.1
3.8500          -6.0269      -6.4190       0.3920  3032.8
3.9000          -6.0783      -6.4883       0.4100  3171.8
3.9500          -6.1262      -6.5102       0.3840  2970.9
4.0000          -6.1808      -6.5321       0.3513  2717.9
4.0500          -6.2357      -6.5218       0.2861  2213.3
4.1000          -6.2903      -6.5510       0.2606  2016.4
4.1500          -6.3327      -6.5939       0.2612  2020.9
4.2000          -6.3849      -6.6226       0.2378  1839.6
4.2500          -6.4404      -6.6314       0.1910  1478.0
4.3000          -6.4896      -6.7036       0.2140  1655.4
4.3500          -6.5400      -6.6900       0.1499  1160.0
4.4000          -6.5897      -6.7039       0.1142   883.5
4.4500          -6.6404      -6.7493       0.1090   843.1
4.5000          -6.6901      -6.7737       0.0836   646.4
