Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.9900      -7.0464       0.0564   436.3
0.0500          -7.0091      -7.0820       0.0728   563.4
0.1000          -7.0105      -7.0774       0.0670   518.2
0.1500          -6.9922      -7.0652       0.0730   564.7
0.2000          -6.9628      -7.0773       0.1145   885.8
0.2500          -6.9238      -7.0355       0.1117   864.0
0.3000          -6.8817      -7.0058       0.1241   959.8
0.3500          -6.8398      -7.0093       0.1696  1311.9
0.4000          -6.7890      -6.9960       0.2070  1601.3
0.4500          -6.7417      -6.9591       0.2174  1681.5
0.5000          -6.6873      -6.9121       0.2247  1738.6
0.5500          -6.6370      -6.8758       0.2388  1847.8
0.6000          -6.5876      -6.9257       0.3381  2615.8
0.6500          -6.5444      -6.8434       0.2989  2312.7
0.7000          -6.4904      -6.8119       0.3215  2487.0
0.7500          -6.4387      -6.8027       0.3640  2816.0
0.8000          -6.4040      -6.7401       0.3361  2600.2
0.8500          -6.3488      -6.7050       0.3563  2756.1
0.9000          -6.2891      -6.6819       0.3928  3039.2
0.9500          -6.2361      -6.6143       0.3782  2925.5
1.0000          -6.1699      -6.6278       0.4579  3542.5
1.0500          -6.1385      -6.5245       0.3860  2986.3
1.1000          -6.1173      -6.6234       0.5061  3915.2
1.1500          -6.0959      -6.5774       0.4815  3725.2
1.2000          -6.1171      -6.5514       0.4343  3359.8
1.2500          -6.0862      -6.5044       0.4182  3235.5
1.3000          -6.0666      -6.6240       0.5574  4312.6
1.3500          -6.0762      -6.6467       0.5705  4413.6
1.4000          -6.1059      -6.6616       0.5557  4299.3
1.4500          -6.1069      -6.8107       0.7037  5444.4
1.5000          -6.1304      -6.6568       0.5264  4072.4
1.5500          -6.1123      -6.4746       0.3624  2803.3
1.6000          -6.1342      -6.6264       0.4922  3807.8
1.6500          -6.1395      -6.6516       0.5121  3961.6
1.7000          -6.1517      -6.7186       0.5668  4385.1
1.7500          -6.1335      -6.5297       0.3962  3065.1
1.8000          -6.1201      -6.6147       0.4946  3826.6
1.8500          -6.1113      -6.6216       0.5103  3948.1
1.9000          -6.1061      -6.5411       0.4350  3365.2
1.9500          -6.0848      -6.5199       0.4351  3366.4
2.0000          -6.0609      -6.4789       0.4180  3234.0
2.0500          -6.0581      -6.6757       0.6176  4777.9
2.1000          -6.0518      -6.4738       0.4220  3264.8
2.1500          -6.0481      -6.5834       0.5354  4141.8
2.2000          -6.0364      -6.3668       0.3305  2556.5
2.2500          -6.0344      -6.5490       0.5146  3981.0
2.3000          -6.0351      -6.5880       0.5529  4277.3
2.3500          -6.0553      -6.6809       0.6256  4839.9
2.4000          -6.0614      -6.4839       0.4225  3268.4
2.4500          -6.0656      -6.6031       0.5375  4158.2
2.5000          -6.0855      -6.6754       0.5900  4564.1
2.5500          -6.0765      -6.6331       0.5566  4306.1
2.6000          -6.0791      -6.5695       0.4905  3794.4
2.6500          -6.0968      -6.6705       0.5737  4438.5
2.7000          -6.1353      -6.5508       0.4156  3215.1
2.7500          -6.1555      -6.7028       0.5473  4234.5
2.8000          -6.1835      -6.7639       0.5803  4489.7
2.8500          -6.2086      -6.7041       0.4955  3833.3
2.9000          -6.2039      -6.6494       0.4455  3446.7
2.9500          -6.2081      -6.8273       0.6192  4790.0
3.0000          -6.2038      -6.7056       0.5018  3882.3
3.0500          -6.2036      -6.7287       0.5251  4062.2
3.1000          -6.1973      -6.8184       0.6211  4804.9
3.1500          -6.2094      -6.7301       0.5207  4028.6
3.2000          -6.2237      -6.7143       0.4906  3795.5
3.2500          -6.2216      -6.6374       0.4157  3216.2
3.3000          -6.2268      -6.6903       0.4635  3585.6
3.3500          -6.1840      -6.6989       0.5150  3984.0
3.4000          -6.1692      -6.7178       0.5486  4244.3
3.4500          -6.1241      -6.6292       0.5051  3907.3
3.5000          -6.0895      -6.6052       0.5157  3989.9
3.5500          -6.1358      -6.7229       0.5872  4542.5
3.6000          -6.1807      -6.6484       0.4676  3617.6
3.6500          -6.2582      -6.8397       0.5815  4498.9
3.7000          -6.3172      -6.8117       0.4945  3825.6
3.7500          -6.3724      -6.8235       0.4511  3489.7
3.8000          -6.4445      -6.9096       0.4650  3597.7
3.8500          -6.5009      -6.9103       0.4094  3167.4
3.9000          -6.5654      -6.8966       0.3312  2562.4
3.9500          -6.6104      -6.9907       0.3803  2942.0
4.0000          -6.6701      -6.9931       0.3231  2499.3
4.0500          -6.7280      -7.0352       0.3073  2377.2
4.1000          -6.7689      -7.0318       0.2629  2033.7
4.1500          -6.8261      -7.0671       0.2411  1865.0
4.2000          -6.8743      -7.1193       0.2450  1895.5
4.2500          -6.9260      -7.1370       0.2110  1632.6
4.3000          -6.9780      -7.1849       0.2069  1600.7
4.3500          -7.0267      -7.1863       0.1596  1234.8
4.4000          -7.0742      -7.1977       0.1235   955.7
4.4500          -7.1245      -7.2016       0.0771   596.3
4.5000          -7.1763      -7.2717       0.0954   737.9
