Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.2751      -7.3168       0.0417   322.3
0.1000          -7.3004      -7.3572       0.0568   439.6
0.2000          -7.3090      -7.3450       0.0360   278.4
0.3000          -7.3124      -7.3537       0.0413   319.3
0.4000          -7.3131      -7.3500       0.0369   285.4
0.5000          -7.3137      -7.3478       0.0342   264.2
0.6000          -7.3138      -7.3525       0.0386   298.9
0.7000          -7.3139      -7.3489       0.0350   270.6
0.8000          -7.3142      -7.3558       0.0416   321.7
0.9000          -7.3138      -7.3487       0.0349   270.2
1.0000          -7.3141      -7.3559       0.0418   323.6
1.1000          -7.3140      -7.3531       0.0391   302.2
1.2000          -7.3144      -7.3559       0.0414   320.7
1.3000          -7.3152      -7.3568       0.0416   321.9
1.4000          -7.3152      -7.3553       0.0400   309.8
1.5000          -7.3151      -7.3547       0.0396   306.4
1.6000          -7.3149      -7.3553       0.0404   312.7
1.7000          -7.3149      -7.3516       0.0367   283.9
1.8000          -7.3148      -7.3534       0.0386   298.7
1.9000          -7.3148      -7.3557       0.0409   316.6
2.0000          -7.3146      -7.3487       0.0340   263.4
2.1000          -7.3145      -7.3515       0.0370   286.3
2.2000          -7.3144      -7.3502       0.0358   277.3
2.3000          -7.3143      -7.3483       0.0340   262.8
2.4000          -7.3141      -7.3514       0.0373   288.9
2.5000          -7.3144      -7.3534       0.0390   301.4
2.6000          -7.3142      -7.3540       0.0398   307.7
2.7000          -7.3145      -7.3524       0.0378   292.8
2.8000          -7.3150      -7.3522       0.0373   288.3
2.9000          -7.3149      -7.3543       0.0395   305.3
3.0000          -7.3150      -7.3562       0.0413   319.2
3.1000          -7.3158      -7.3546       0.0388   300.1
3.2000          -7.3157      -7.3556       0.0399   308.3
3.3000          -7.3157      -7.3504       0.0347   268.5
3.4000          -7.3153      -7.3517       0.0364   281.5
3.5000          -7.3154      -7.3546       0.0392   303.3
3.6000          -7.3147      -7.3483       0.0336   260.1
3.7000          -7.3146      -7.3509       0.0362   280.4
3.8000          -7.3147      -7.3506       0.0359   277.9
3.9000          -7.3148      -7.3515       0.0367   283.8
4.0000          -7.3151      -7.3508       0.0358   276.7
4.1000          -7.3152      -7.3524       0.0372   288.2
4.2000          -7.3148      -7.3546       0.0398   307.6
4.3000          -7.3148      -7.3535       0.0387   299.7
4.4000          -7.3151      -7.3548       0.0397   307.1
4.5000          -7.3156      -7.3537       0.0381   294.5
4.6000          -7.3157      -7.3568       0.0412   318.4
4.7000          -7.3155      -7.3541       0.0386   298.8
4.8000          -7.3155      -7.3565       0.0410   317.2
4.9000          -7.3157      -7.3556       0.0399   308.9
5.0000          -7.3154      -7.3532       0.0378   292.3
