       Step     Time          Energy          fmax
LBFGS:    0 12:32:06     -571.733398        3.655515
LBFGS:    1 12:32:06     -574.338379        1.978428
LBFGS:    2 12:32:07     -575.393127        0.977827
LBFGS:    3 12:32:07     -575.735962        0.726211
LBFGS:    4 12:32:07     -575.952148        0.755567
LBFGS:    5 12:32:07     -576.264099        0.719915
LBFGS:    6 12:32:07     -576.431152        0.599710
LBFGS:    7 12:32:07     -576.529907        0.395225
LBFGS:    8 12:32:07     -576.583679        0.362473
LBFGS:    9 12:32:07     -576.620483        0.304650
LBFGS:   10 12:32:07     -576.638916        0.211489
LBFGS:   11 12:32:07     -576.647400        0.120555
LBFGS:   12 12:32:07     -576.652710        0.104692
LBFGS:   13 12:32:07     -576.657715        0.116104
LBFGS:   14 12:32:07     -576.662842        0.095982
LBFGS:   15 12:32:07     -576.666931        0.068442
LBFGS:   16 12:32:07     -576.668823        0.041460
