Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.9085      -7.9407       0.0322   249.1
0.1000          -7.9282      -7.9656       0.0374   289.1
0.2000          -7.9316      -7.9795       0.0479   370.7
0.3000          -7.9378      -7.9858       0.0480   371.3
0.4000          -7.9363      -7.9794       0.0431   333.7
0.5000          -7.9390      -7.9733       0.0343   265.7
0.6000          -7.9369      -7.9731       0.0362   280.2
0.7000          -7.9389      -7.9758       0.0370   285.9
0.8000          -7.9382      -7.9746       0.0364   281.4
0.9000          -7.9399      -7.9823       0.0424   328.2
1.0000          -7.9372      -7.9808       0.0436   337.1
1.1000          -7.9381      -7.9764       0.0384   296.8
1.2000          -7.9362      -7.9677       0.0315   243.6
1.3000          -7.9358      -7.9712       0.0354   273.7
1.4000          -7.9360      -7.9736       0.0376   290.7
1.5000          -7.9357      -7.9786       0.0429   331.8
1.6000          -7.9366      -7.9811       0.0445   344.6
1.7000          -7.9365      -7.9758       0.0392   303.6
1.8000          -7.9374      -7.9693       0.0319   246.7
1.9000          -7.9389      -7.9770       0.0381   294.7
2.0000          -7.9356      -7.9764       0.0409   316.2
2.1000          -7.9357      -7.9774       0.0417   323.0
2.2000          -7.9347      -7.9769       0.0422   326.7
2.3000          -7.9370      -7.9775       0.0405   313.5
2.4000          -7.9374      -7.9776       0.0402   311.4
2.5000          -7.9386      -7.9750       0.0364   281.7
2.6000          -7.9360      -7.9767       0.0406   314.5
2.7000          -7.9364      -7.9782       0.0418   323.2
2.8000          -7.9368      -7.9786       0.0418   323.1
2.9000          -7.9347      -7.9739       0.0393   303.7
3.0000          -7.9362      -7.9754       0.0392   303.5
3.1000          -7.9362      -7.9705       0.0342   264.9
3.2000          -7.9379      -7.9770       0.0391   302.5
3.3000          -7.9376      -7.9779       0.0403   311.9
3.4000          -7.9369      -7.9771       0.0402   310.8
3.5000          -7.9388      -7.9741       0.0353   273.1
3.6000          -7.9361      -7.9757       0.0396   306.3
3.7000          -7.9368      -7.9749       0.0381   294.8
3.8000          -7.9367      -7.9743       0.0376   291.0
3.9000          -7.9359      -7.9778       0.0419   323.8
4.0000          -7.9362      -7.9742       0.0379   293.5
4.1000          -7.9357      -7.9770       0.0412   319.0
4.2000          -7.9363      -7.9763       0.0400   309.7
4.3000          -7.9364      -7.9758       0.0395   305.4
4.4000          -7.9358      -7.9743       0.0386   298.5
4.5000          -7.9363      -7.9752       0.0390   301.4
4.6000          -7.9370      -7.9764       0.0395   305.3
4.7000          -7.9372      -7.9755       0.0383   296.1
4.8000          -7.9363      -7.9753       0.0390   301.7
4.9000          -7.9350      -7.9712       0.0363   280.6
5.0000          -7.9343      -7.9721       0.0378   292.4
