Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -4.8394      -4.8810       0.0416   321.7
0.0500          -5.4344      -6.0071       0.5727  4430.6
0.1000          -5.8480      -6.2210       0.3730  2885.9
0.1500          -6.0908      -6.3272       0.2364  1829.1
0.2000          -6.2276      -6.4215       0.1939  1499.7
0.2500          -6.3015      -6.4418       0.1403  1085.7
0.3000          -6.3328      -6.5163       0.1835  1419.8
0.3500          -6.3359      -6.4741       0.1381  1068.6
0.4000          -6.3287      -6.5045       0.1758  1360.0
0.4500          -6.3062      -6.4985       0.1923  1487.7
0.5000          -6.2805      -6.4787       0.1982  1533.2
0.5500          -6.2473      -6.4505       0.2033  1572.7
0.6000          -6.2192      -6.4423       0.2231  1725.8
0.6500          -6.1789      -6.4267       0.2478  1916.9
0.7000          -6.1481      -6.3991       0.2510  1941.5
0.7500          -6.1173      -6.3903       0.2730  2112.1
0.8000          -6.0812      -6.3079       0.2267  1753.8
0.8500          -6.0474      -6.3461       0.2987  2310.7
0.9000          -6.0081      -6.3014       0.2933  2269.3
0.9500          -5.9722      -6.3460       0.3738  2891.8
1.0000          -5.9344      -6.2669       0.3325  2572.0
1.0500          -5.9067      -6.2895       0.3827  2960.8
1.1000          -5.8922      -6.2385       0.3463  2679.2
1.1500          -5.8668      -6.2467       0.3798  2938.5
1.2000          -5.8654      -6.2643       0.3989  3085.9
1.2500          -5.8687      -6.2537       0.3850  2978.6
1.3000          -5.8636      -6.1914       0.3277  2535.5
1.3500          -5.8541      -6.2364       0.3823  2957.8
1.4000          -5.8635      -6.2440       0.3806  2944.3
1.4500          -5.8617      -6.2798       0.4181  3234.7
1.5000          -5.8544      -6.2361       0.3818  2953.5
1.5500          -5.8611      -6.3337       0.4726  3656.3
1.6000          -5.8634      -6.2730       0.4096  3169.2
1.6500          -5.8684      -6.2528       0.3843  2973.3
1.7000          -5.8645      -6.2752       0.4107  3177.4
1.7500          -5.8688      -6.2623       0.3936  3044.9
1.8000          -5.8563      -6.2333       0.3770  2916.6
1.8500          -5.8621      -6.2363       0.3742  2894.8
1.9000          -5.8580      -6.2409       0.3829  2962.5
1.9500          -5.8581      -6.2057       0.3476  2688.9
2.0000          -5.8580      -6.2597       0.4017  3107.5
2.0500          -5.8674      -6.2474       0.3800  2939.7
2.1000          -5.8693      -6.2896       0.4203  3251.6
2.1500          -5.8714      -6.2551       0.3836  2968.0
2.2000          -5.8738      -6.2283       0.3545  2742.5
2.2500          -5.8757      -6.2326       0.3569  2761.1
2.3000          -5.8734      -6.2920       0.4186  3238.3
2.3500          -5.8648      -6.2795       0.4147  3208.5
2.4000          -5.8691      -6.2568       0.3878  3000.0
2.4500          -5.8755      -6.3278       0.4522  3498.7
2.5000          -5.8944      -6.3544       0.4600  3558.7
2.5500          -5.8983      -6.2952       0.3969  3070.7
2.6000          -5.9069      -6.3865       0.4796  3710.5
2.6500          -5.9095      -6.3897       0.4802  3715.2
2.7000          -5.9150      -6.2851       0.3701  2863.4
2.7500          -5.9123      -6.3028       0.3906  3021.4
2.8000          -5.9147      -6.2464       0.3317  2566.2
2.8500          -5.9217      -6.3298       0.4082  3157.7
2.9000          -5.9286      -6.2957       0.3670  2839.5
2.9500          -5.9346      -6.3033       0.3687  2852.0
3.0000          -5.9434      -6.3365       0.3931  3041.1
3.0500          -5.9338      -6.2766       0.3428  2652.0
3.1000          -5.9206      -6.2818       0.3612  2794.6
3.1500          -5.9287      -6.3409       0.4122  3188.8
3.2000          -5.9271      -6.2970       0.3699  2861.6
3.2500          -5.9404      -6.3730       0.4327  3347.4
3.3000          -5.9545      -6.3442       0.3896  3014.3
3.3500          -5.9659      -6.3308       0.3649  2823.1
3.4000          -5.9627      -6.3472       0.3845  2974.6
3.4500          -5.9650      -6.3432       0.3782  2926.1
3.5000          -5.9666      -6.4040       0.4374  3383.8
3.5500          -5.9726      -6.3076       0.3350  2591.3
3.6000          -5.9917      -6.3699       0.3782  2926.1
3.6500          -6.0241      -6.4336       0.4095  3167.9
3.7000          -6.0501      -6.4031       0.3530  2731.1
3.7500          -6.0740      -6.4013       0.3274  2532.5
3.8000          -6.1078      -6.4155       0.3078  2381.1
3.8500          -6.1462      -6.4847       0.3385  2618.6
3.9000          -6.1813      -6.4593       0.2780  2150.4
3.9500          -6.2214      -6.4749       0.2535  1961.4
4.0000          -6.2598      -6.5194       0.2596  2008.1
4.0500          -6.2934      -6.5091       0.2157  1668.9
4.1000          -6.3323      -6.5146       0.1823  1410.3
4.1500          -6.3693      -6.5651       0.1959  1515.2
4.2000          -6.4086      -6.5880       0.1794  1388.0
4.2500          -6.4427      -6.5989       0.1562  1208.1
4.3000          -6.4782      -6.6438       0.1655  1280.7
4.3500          -6.5127      -6.6209       0.1082   837.3
4.4000          -6.5484      -6.6480       0.0996   770.3
4.4500          -6.5836      -6.6788       0.0951   736.0
4.5000          -6.6198      -6.6854       0.0657   508.1
