Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -3.7909      -3.8260       0.0351   271.8
0.0500          -4.5840      -5.4992       0.9152  7080.2
0.1000          -5.1801      -5.7148       0.5346  4136.2
0.1500          -5.5316      -5.8593       0.3277  2535.3
0.2000          -5.7216      -5.9695       0.2479  1917.6
0.2500          -5.8105      -6.0289       0.2185  1690.2
0.3000          -5.8481      -6.0814       0.2332  1804.4
0.3500          -5.8607      -6.0474       0.1867  1444.4
0.4000          -5.8489      -6.0634       0.2145  1659.2
0.4500          -5.8444      -6.1263       0.2818  2180.4
0.5000          -5.8685      -6.1462       0.2777  2148.2
0.5500          -5.8650      -6.1660       0.3010  2329.0
0.6000          -5.8452      -6.1295       0.2843  2199.6
0.6500          -5.8113      -6.1307       0.3194  2471.0
0.7000          -5.7796      -6.1826       0.4030  3117.6
0.7500          -5.7282      -6.0202       0.2920  2258.8
0.8000          -5.6891      -6.1192       0.4301  3327.5
0.8500          -5.6523      -6.0662       0.4139  3202.0
0.9000          -5.6019      -6.0522       0.4503  3484.0
0.9500          -5.5616      -5.9928       0.4312  3336.2
1.0000          -5.5086      -5.9256       0.4170  3226.1
1.0500          -5.4754      -6.0408       0.5654  4374.5
1.1000          -5.4686      -5.8943       0.4258  3294.0
1.1500          -5.4245      -5.9770       0.5525  4274.2
1.2000          -5.4014      -5.8166       0.4152  3212.1
1.2500          -5.3982      -5.9981       0.5999  4640.9
1.3000          -5.3702      -5.9300       0.5598  4330.7
1.3500          -5.3776      -5.8697       0.4921  3806.9
1.4000          -5.3474      -5.9096       0.5622  4349.5
1.4500          -5.3475      -5.9451       0.5976  4623.1
1.5000          -5.3721      -5.8379       0.4658  3603.6
1.5500          -5.3871      -5.9653       0.5782  4473.2
1.6000          -5.4065      -5.9614       0.5549  4292.6
1.6500          -5.4412      -6.0198       0.5786  4476.6
1.7000          -5.4533      -5.9719       0.5186  4012.1
1.7500          -5.4450      -6.0059       0.5609  4339.4
1.8000          -5.4407      -5.8897       0.4490  3473.3
1.8500          -5.4131      -5.9442       0.5311  4108.8
1.9000          -5.3987      -5.9651       0.5664  4382.2
1.9500          -5.4382      -6.0974       0.6591  5099.3
2.0000          -5.5092      -6.1636       0.6544  5062.6
2.0500          -5.5221      -6.0665       0.5444  4211.6
2.1000          -5.5553      -6.1438       0.5885  4552.6
2.1500          -5.5513      -6.0913       0.5399  4177.1
2.2000          -5.5520      -6.0128       0.4608  3564.8
2.2500          -5.5633      -6.1413       0.5780  4471.2
2.3000          -5.5575      -6.1375       0.5800  4487.4
2.3500          -5.5653      -6.2011       0.6358  4919.0
2.4000          -5.5913      -6.0902       0.4989  3859.5
2.4500          -5.5868      -6.1266       0.5398  4176.2
2.5000          -5.5678      -5.9625       0.3948  3054.0
2.5500          -5.5710      -6.0530       0.4820  3729.0
2.6000          -5.5740      -6.0916       0.5175  4003.7
2.6500          -5.5811      -6.0274       0.4464  3453.2
2.7000          -5.5756      -6.0749       0.4993  3862.5
2.7500          -5.5780      -6.0973       0.5193  4017.5
2.8000          -5.5822      -6.1213       0.5391  4170.7
2.8500          -5.5661      -6.0706       0.5044  3902.4
2.9000          -5.5656      -6.0076       0.4420  3419.7
2.9500          -5.5723      -6.0746       0.5023  3886.1
3.0000          -5.5334      -6.0104       0.4770  3690.2
3.0500          -5.5509      -6.1014       0.5505  4259.2
3.1000          -5.5465      -6.0356       0.4891  3783.9
3.1500          -5.5632      -6.0746       0.5113  3955.9
3.2000          -5.5736      -6.0957       0.5221  4039.0
3.2500          -5.5744      -6.0842       0.5098  3944.1
3.3000          -5.5787      -6.0598       0.4811  3722.0
3.3500          -5.5664      -6.2749       0.7086  5481.7
3.4000          -5.5736      -6.0390       0.4654  3600.7
3.4500          -5.5631      -6.0887       0.5256  4066.3
3.5000          -5.5565      -6.1113       0.5548  4291.9
3.5500          -5.5743      -5.9922       0.4179  3232.9
3.6000          -5.6082      -6.0782       0.4700  3635.8
3.6500          -5.6357      -6.0040       0.3683  2849.6
3.7000          -5.6810      -6.1313       0.4503  3483.8
3.7500          -5.7254      -6.1577       0.4324  3344.8
3.8000          -5.7770      -6.2032       0.4262  3296.9
3.8500          -5.8326      -6.2040       0.3714  2873.6
3.9000          -5.8863      -6.2108       0.3245  2510.1
3.9500          -5.9395      -6.3501       0.4107  3177.0
4.0000          -5.9840      -6.3466       0.3626  2805.2
4.0500          -6.0473      -6.3907       0.3434  2656.7
4.1000          -6.0909      -6.3487       0.2578  1994.7
4.1500          -6.1503      -6.3893       0.2390  1848.7
4.2000          -6.1964      -6.4420       0.2456  1900.2
4.2500          -6.2350      -6.4401       0.2051  1587.1
4.3000          -6.2765      -6.4865       0.2100  1624.3
4.3500          -6.3235      -6.4842       0.1607  1243.0
4.4000          -6.3754      -6.5264       0.1510  1168.1
4.4500          -6.4370      -6.5448       0.1078   834.0
4.5000          -6.4917      -6.5960       0.1043   806.7
