Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -5.9907      -6.0246       0.0339   262.6
0.0500          -6.1761      -6.3889       0.2128  1646.6
0.1000          -6.3160      -6.5243       0.2083  1611.7
0.1500          -6.3936      -6.5530       0.1594  1233.3
0.2000          -6.4224      -6.5685       0.1461  1130.1
0.2500          -6.4228      -6.5678       0.1451  1122.3
0.3000          -6.4066      -6.5719       0.1653  1279.0
0.3500          -6.3771      -6.5576       0.1805  1396.5
0.4000          -6.3388      -6.5352       0.1965  1519.9
0.4500          -6.2953      -6.5189       0.2236  1729.8
0.5000          -6.2597      -6.4866       0.2269  1755.5
0.5500          -6.2183      -6.4678       0.2495  1930.4
0.6000          -6.1831      -6.4745       0.2914  2254.6
0.6500          -6.1411      -6.4494       0.3083  2384.9
0.7000          -6.0973      -6.4050       0.3077  2380.7
0.7500          -6.0529      -6.3609       0.3080  2382.8
0.8000          -6.0060      -6.4134       0.4074  3152.0
0.8500          -5.9618      -6.3676       0.4058  3139.0
0.9000          -5.9144      -6.3096       0.3952  3057.8
0.9500          -5.8595      -6.2903       0.4308  3332.8
1.0000          -5.8182      -6.3148       0.4967  3842.3
1.0500          -5.7640      -6.2615       0.4975  3848.7
1.1000          -5.7384      -6.2408       0.5024  3886.8
1.1500          -5.7365      -6.1772       0.4407  3409.7
1.2000          -5.7221      -6.2163       0.4942  3823.1
1.2500          -5.7286      -6.2339       0.5053  3909.4
1.3000          -5.7244      -6.1975       0.4731  3660.0
1.3500          -5.7309      -6.2502       0.5193  4017.6
1.4000          -5.7348      -6.1956       0.4608  3565.0
1.4500          -5.7327      -6.2099       0.4772  3692.0
1.5000          -5.7314      -6.1996       0.4682  3622.5
1.5500          -5.7293      -6.2032       0.4739  3666.2
1.6000          -5.7214      -6.2153       0.4939  3821.0
1.6500          -5.7252      -6.2446       0.5194  4018.5
1.7000          -5.7253      -6.3180       0.5928  4585.9
1.7500          -5.7244      -6.2628       0.5384  4165.1
1.8000          -5.7199      -6.2683       0.5484  4242.7
1.8500          -5.7326      -6.2456       0.5129  3968.3
1.9000          -5.7282      -6.2670       0.5388  4168.2
1.9500          -5.7333      -6.2243       0.4910  3798.7
2.0000          -5.7358      -6.2339       0.4981  3853.7
2.0500          -5.7350      -6.2707       0.5358  4144.8
2.1000          -5.7259      -6.2733       0.5474  4235.3
2.1500          -5.7274      -6.2417       0.5144  3979.4
2.2000          -5.7278      -6.2630       0.5352  4140.4
2.2500          -5.7418      -6.2683       0.5265  4072.9
2.3000          -5.7280      -6.2427       0.5147  3982.0
2.3500          -5.7295      -6.1911       0.4616  3571.3
2.4000          -5.7256      -6.2466       0.5209  4030.1
2.4500          -5.7187      -6.2394       0.5207  4028.3
2.5000          -5.7167      -6.2017       0.4850  3752.1
2.5500          -5.7204      -6.2758       0.5554  4296.5
2.6000          -5.7235      -6.2123       0.4889  3782.0
2.6500          -5.7230      -6.2284       0.5054  3910.2
2.7000          -5.7265      -6.2845       0.5581  4317.4
2.7500          -5.7255      -6.2419       0.5164  3995.3
2.8000          -5.7313      -6.2294       0.4981  3853.5
2.8500          -5.7211      -6.2227       0.5017  3881.0
2.9000          -5.7263      -6.2733       0.5470  4232.0
2.9500          -5.7152      -6.2412       0.5260  4069.2
3.0000          -5.7222      -6.2513       0.5292  4094.0
3.0500          -5.7196      -6.1999       0.4804  3716.3
3.1000          -5.7174      -6.2290       0.5117  3958.6
3.1500          -5.7250      -6.2858       0.5608  4338.5
3.2000          -5.7416      -6.2589       0.5173  4002.1
3.2500          -5.7482      -6.2422       0.4941  3822.1
3.3000          -5.7526      -6.2645       0.5119  3959.9
3.3500          -5.7529      -6.2817       0.5287  4090.5
3.4000          -5.7572      -6.3270       0.5698  4408.1
3.4500          -5.7627      -6.2733       0.5106  3949.8
3.5000          -5.7593      -6.2651       0.5058  3913.2
3.5500          -5.7705      -6.2980       0.5275  4080.8
3.6000          -5.7950      -6.3048       0.5097  3943.5
3.6500          -5.8388      -6.3147       0.4759  3681.7
3.7000          -5.8913      -6.3718       0.4806  3718.0
3.7500          -5.9327      -6.3678       0.4351  3366.4
3.8000          -5.9753      -6.3699       0.3947  3053.3
3.8500          -6.0269      -6.4075       0.3806  2944.4
3.9000          -6.0817      -6.4072       0.3254  2517.7
3.9500          -6.1343      -6.4994       0.3652  2825.1
4.0000          -6.1887      -6.5107       0.3221  2491.5
4.0500          -6.2355      -6.5434       0.3079  2382.2
4.1000          -6.2855      -6.5752       0.2897  2241.5
4.1500          -6.3398      -6.6017       0.2618  2025.7
4.2000          -6.3924      -6.6045       0.2121  1641.1
4.2500          -6.4434      -6.6589       0.2156  1667.6
4.3000          -6.4942      -6.6638       0.1696  1312.0
4.3500          -6.5446      -6.7017       0.1571  1215.5
4.4000          -6.5940      -6.7365       0.1425  1102.5
4.4500          -6.6438      -6.7466       0.1029   795.7
4.5000          -6.6932      -6.7697       0.0765   592.0
