Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.0214      -7.0587       0.0374   289.1
0.0500          -7.0053      -7.0462       0.0409   316.4
0.1000          -6.9856      -7.0495       0.0639   494.5
0.1500          -6.9608      -7.0418       0.0810   626.4
0.2000          -6.9263      -7.0186       0.0923   713.9
0.2500          -6.8891      -7.0066       0.1174   908.5
0.3000          -6.8538      -7.0034       0.1496  1157.7
0.3500          -6.8216      -7.0013       0.1797  1390.1
0.4000          -6.7805      -6.9816       0.2011  1555.9
0.4500          -6.7381      -6.9688       0.2307  1784.8
0.5000          -6.6959      -6.9407       0.2448  1894.0
0.5500          -6.6483      -6.9255       0.2772  2144.5
0.6000          -6.5934      -6.8669       0.2734  2115.4
0.6500          -6.5392      -6.8361       0.2969  2296.9
0.7000          -6.4929      -6.8178       0.3249  2513.8
0.7500          -6.4399      -6.7852       0.3453  2671.4
0.8000          -6.3771      -6.7103       0.3332  2577.6
0.8500          -6.3226      -6.7030       0.3805  2943.6
0.9000          -6.2584      -6.6685       0.4101  3172.7
0.9500          -6.2031      -6.6814       0.4783  3700.5
1.0000          -6.1774      -6.5846       0.4072  3150.2
1.0500          -6.1348      -6.5972       0.4624  3577.5
1.1000          -6.1098      -6.5998       0.4900  3790.5
1.1500          -6.1016      -6.5766       0.4751  3675.3
1.2000          -6.0833      -6.5326       0.4493  3475.8
1.2500          -6.0613      -6.5742       0.5129  3968.2
1.3000          -6.0422      -6.5398       0.4976  3849.6
1.3500          -6.0245      -6.4753       0.4509  3488.2
1.4000          -6.0178      -6.5517       0.5338  4130.0
1.4500          -6.0254      -6.6119       0.5865  4537.3
1.5000          -6.0228      -6.5206       0.4977  3850.5
1.5500          -6.0222      -6.4855       0.4633  3584.1
1.6000          -6.0194      -6.5500       0.5305  4104.4
1.6500          -6.0183      -6.5158       0.4975  3849.1
1.7000          -6.0070      -6.4640       0.4571  3536.0
1.7500          -5.9825      -6.4107       0.4283  3313.1
1.8000          -5.9740      -6.4189       0.4449  3442.2
1.8500          -5.9704      -6.5078       0.5374  4157.5
1.9000          -5.9628      -6.5202       0.5574  4312.2
1.9500          -5.9751      -6.5188       0.5436  4205.7
2.0000          -6.0057      -6.5666       0.5609  4339.1
2.0500          -5.9995      -6.5106       0.5111  3954.1
2.1000          -6.0045      -6.5097       0.5053  3909.0
2.1500          -5.9965      -6.5155       0.5191  4015.9
2.2000          -6.0057      -6.4402       0.4345  3361.6
2.2500          -5.9793      -6.4513       0.4720  3651.6
2.3000          -5.9702      -6.4752       0.5051  3907.3
2.3500          -5.9682      -6.4768       0.5086  3935.0
2.4000          -5.9489      -6.4427       0.4938  3820.0
2.4500          -5.9207      -6.3976       0.4769  3689.6
2.5000          -5.9214      -6.4705       0.5491  4247.7
2.5500          -5.9567      -6.4960       0.5394  4172.7
2.6000          -5.9751      -6.4573       0.4822  3730.4
2.6500          -5.9668      -6.4248       0.4580  3543.5
2.7000          -5.9550      -6.5126       0.5577  4314.3
2.7500          -5.9695      -6.5644       0.5949  4602.2
2.8000          -5.9980      -6.5503       0.5523  4272.8
2.8500          -6.0027      -6.4817       0.4790  3706.0
2.9000          -6.0131      -6.5664       0.5532  4280.0
2.9500          -6.0363      -6.5788       0.5425  4197.3
3.0000          -6.0589      -6.6629       0.6041  4673.3
3.0500          -6.0760      -6.5372       0.4612  3567.7
3.1000          -6.0921      -6.6610       0.5689  4401.0
3.1500          -6.1181      -6.6383       0.5202  4024.3
3.2000          -6.1274      -6.6259       0.4984  3856.0
3.2500          -6.1253      -6.6718       0.5465  4228.0
3.3000          -6.1329      -6.5948       0.4619  3573.1
3.3500          -6.1216      -6.6419       0.5203  4025.2
3.4000          -6.1262      -6.5714       0.4452  3444.2
3.4500          -6.1210      -6.6890       0.5679  4393.9
3.5000          -6.0973      -6.6259       0.5285  4088.9
3.5500          -6.1173      -6.6098       0.4925  3810.4
3.6000          -6.1416      -6.5725       0.4309  3333.6
3.6500          -6.1692      -6.6393       0.4701  3636.6
3.7000          -6.2120      -6.6388       0.4269  3302.4
3.7500          -6.2576      -6.6699       0.4123  3189.6
3.8000          -6.2993      -6.7936       0.4943  3824.3
3.8500          -6.3791      -6.7894       0.4103  3174.2
3.9000          -6.4353      -6.8323       0.3970  3071.3
3.9500          -6.5005      -6.8741       0.3735  2889.8
4.0000          -6.5561      -6.9039       0.3477  2690.3
4.0500          -6.6092      -6.9310       0.3218  2489.6
4.1000          -6.6715      -6.9656       0.2941  2275.6
4.1500          -6.7298      -7.0406       0.3108  2404.6
4.2000          -6.7902      -7.0319       0.2417  1869.8
4.2500          -6.8497      -7.0563       0.2066  1598.4
4.3000          -6.9059      -7.0679       0.1620  1253.5
4.3500          -6.9619      -7.1118       0.1499  1159.9
4.4000          -7.0125      -7.1361       0.1236   956.1
4.4500          -7.0631      -7.1671       0.1041   805.3
4.5000          -7.1123      -7.2029       0.0905   700.4
