Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -5.9861      -6.0246       0.0385   297.8
0.0500          -6.1601      -6.3551       0.1950  1508.3
0.1000          -6.2892      -6.4874       0.1982  1533.3
0.1500          -6.3574      -6.5081       0.1506  1165.4
0.2000          -6.3782      -6.5358       0.1576  1219.3
0.2500          -6.3707      -6.5112       0.1404  1086.4
0.3000          -6.3435      -6.4986       0.1551  1199.7
0.3500          -6.3061      -6.4999       0.1938  1499.2
0.4000          -6.2644      -6.4822       0.2178  1684.8
0.4500          -6.2205      -6.4447       0.2241  1734.1
0.5000          -6.1722      -6.4200       0.2479  1917.5
0.5500          -6.1227      -6.3895       0.2667  2063.6
0.6000          -6.0754      -6.4094       0.3340  2584.1
0.6500          -6.0229      -6.3413       0.3184  2463.4
0.7000          -5.9747      -6.3227       0.3480  2692.2
0.7500          -5.9205      -6.3020       0.3815  2951.7
0.8000          -5.8622      -6.2711       0.4089  3163.1
0.8500          -5.8123      -6.2901       0.4778  3696.6
0.9000          -5.7593      -6.2207       0.4615  3570.0
0.9500          -5.7119      -6.2310       0.5191  4016.3
1.0000          -5.6528      -6.2196       0.5669  4385.5
1.0500          -5.6101      -6.1174       0.5073  3924.3
1.1000          -5.5847      -6.1805       0.5958  4609.5
1.1500          -5.5730      -6.1523       0.5793  4481.3
1.2000          -5.5609      -6.1606       0.5996  4639.0
1.2500          -5.5632      -6.1955       0.6323  4892.0
1.3000          -5.5431      -6.0648       0.5217  4036.2
1.3500          -5.5487      -6.1521       0.6034  4667.8
1.4000          -5.5699      -6.1450       0.5751  4449.0
1.4500          -5.5859      -6.2177       0.6318  4887.6
1.5000          -5.5925      -6.1846       0.5921  4580.8
1.5500          -5.5928      -6.1948       0.6020  4657.5
1.6000          -5.5874      -6.1924       0.6051  4680.9
1.6500          -5.5824      -6.1618       0.5794  4482.3
1.7000          -5.5817      -6.1477       0.5660  4379.1
1.7500          -5.5713      -6.1248       0.5535  4282.1
1.8000          -5.5570      -6.1386       0.5816  4499.4
1.8500          -5.5625      -6.1231       0.5606  4336.9
1.9000          -5.5639      -6.1764       0.6125  4738.4
1.9500          -5.5607      -6.1294       0.5687  4399.6
2.0000          -5.5672      -6.1036       0.5363  4149.1
2.0500          -5.5757      -6.1199       0.5442  4210.1
2.1000          -5.5699      -6.1750       0.6051  4681.3
