Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -4.6201      -4.6598       0.0397   307.5
0.1000          -5.7444      -6.1793       0.4349  3364.3
0.2000          -6.2304      -6.4083       0.1779  1376.0
0.3000          -6.4132      -6.5048       0.0916   708.8
0.4000          -6.4786      -6.5395       0.0609   471.4
0.5000          -6.5028      -6.5542       0.0513   397.2
0.6000          -6.5154      -6.5558       0.0404   312.9
0.7000          -6.5190      -6.5622       0.0433   334.7
0.8000          -6.5203      -6.5628       0.0425   328.4
0.9000          -6.5189      -6.5549       0.0360   278.3
1.0000          -6.5156      -6.5575       0.0419   324.2
1.1000          -6.5188      -6.5613       0.0425   328.5
1.2000          -6.5185      -6.5557       0.0372   287.5
1.3000          -6.5188      -6.5579       0.0391   302.1
1.4000          -6.5214      -6.5621       0.0406   314.4
1.5000          -6.5169      -6.5564       0.0395   305.9
1.6000          -6.5199      -6.5568       0.0369   285.8
1.7000          -6.5195      -6.5619       0.0424   328.1
1.8000          -6.5207      -6.5625       0.0418   323.5
1.9000          -6.5174      -6.5632       0.0458   354.6
2.0000          -6.5161      -6.5583       0.0422   326.4
2.1000          -6.5170      -6.5570       0.0399   309.0
2.2000          -6.5190      -6.5575       0.0385   297.7
2.3000          -6.5219      -6.5603       0.0385   297.7
2.4000          -6.5219      -6.5604       0.0386   298.4
2.5000          -6.5216      -6.5627       0.0411   317.7
2.6000          -6.5198      -6.5594       0.0396   306.5
2.7000          -6.5202      -6.5579       0.0378   292.2
2.8000          -6.5211      -6.5644       0.0433   334.7
2.9000          -6.5199      -6.5613       0.0414   320.4
3.0000          -6.5223      -6.5616       0.0394   304.7
3.1000          -6.5218      -6.5628       0.0410   317.5
3.2000          -6.5228      -6.5614       0.0386   298.6
3.3000          -6.5220      -6.5639       0.0420   324.6
3.4000          -6.5212      -6.5583       0.0371   286.8
3.5000          -6.5151      -6.5589       0.0438   339.1
3.6000          -6.5190      -6.5577       0.0387   299.1
3.7000          -6.5174      -6.5604       0.0430   332.3
3.8000          -6.5198      -6.5615       0.0417   322.8
3.9000          -6.5204      -6.5583       0.0379   293.0
4.0000          -6.5199      -6.5602       0.0403   312.0
4.1000          -6.5093      -6.5514       0.0421   325.8
4.2000          -6.5169      -6.5602       0.0434   335.5
4.3000          -6.5186      -6.5553       0.0367   284.3
4.4000          -6.5151      -6.5576       0.0425   329.0
4.5000          -6.5171      -6.5581       0.0410   317.0
4.6000          -6.5113      -6.5572       0.0459   354.8
4.7000          -6.5093      -6.5463       0.0371   286.6
4.8000          -6.5081      -6.5547       0.0466   360.9
4.9000          -6.5120      -6.5571       0.0451   349.1
