time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
0,27,50,0,9,17,0,1,0.3333333333333333,0.6296296296296297,3.7037037037037037,1.524703399063003
50,27,48,0,12,15,0,0,0.4444444444444444,0.5555555555555556,3.5555555555555554,1.4980891773531695
100,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5175174106106966
150,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5084607508302466
200,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5145502373322302
250,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5128098195339463
300,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5108273418479499
350,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5098307567258211
400,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5085097661058073
450,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5110600386434079
500,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5085858783132227
550,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.509779276977867
600,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5086014603550337
650,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.510905490426878
700,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5108997202202221
750,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.51061147331365
800,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5099845822758353
850,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5075456701987315
900,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.511186901524766
950,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5081555054660782
1000,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5071495127024253
1050,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5101776370321847
1100,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.509176783438204
1150,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5122656076735168
1200,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5073265456660794
1250,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5102704790341903
1300,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.509097964116765
1350,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.509154135940494
1400,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5122010323366268
1450,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5102628490296477
1500,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5113681709220697
1550,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.510919182650229
1600,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.50939812153489
1650,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5089947434234166
1700,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5126117170382885
1750,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.511440653790134
1800,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.506969583572307
1850,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5115452455522682
