time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
0,27,50,0,9,17,0,1,0.3333333333333333,0.6296296296296297,3.7037037037037037,1.524703399063003
50,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5298991134706121
100,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5205064245575706
150,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.541468825767915
200,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5365168025172018
250,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.536074338943404
300,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5362769482408447
350,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5353880453622133
400,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5369028131968192
450,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.534032537223727
500,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5295052975921222
550,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5370846330540218
600,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5351214615556759
650,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5374037637544717
700,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5282523965346895
750,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5350051982665658
800,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5376768587130412
850,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5356487184898568
900,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5378550518714356
950,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5387002987704417
1000,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5352497870843824
1050,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5351928256021263
1100,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5376683884199647
1150,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5369880272954284
1200,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.528937817034827
1250,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5372477792226047
1300,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5370558762822861
1350,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5381658646678908
1400,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5287258396066778
1450,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5260405166550046
1500,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5404762773976717
1550,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5376596789100245
1600,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.534937700506124
1650,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5387951948525944
1700,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.535281633120626
1750,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5371440770761273
1800,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5283520471449539
1850,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5356530732359333
1900,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5364882996630964
1950,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5282846331076987
2000,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5383230288012093
2050,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5272026478487912
2100,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.528833153533999
2150,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5358871574304314
2200,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5368954412875513
2250,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5370127807267822
