time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
0,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.4761286704216194
50,27,39,6,18,3,6,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.587111628777677
100,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.5925140795004296
150,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.5626043609545452
200,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.5546782105155192
250,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.5667318433295612
300,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.56601082423624
350,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.5650289750501722
400,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.5734720060477145
450,27,41,3,20,4,3,0,0.7407407407407407,0.14814814814814814,3.037037037037037,1.559010264943519
500,27,42,2,20,5,2,0,0.7407407407407407,0.18518518518518517,3.111111111111111,1.5962528297436969
550,27,42,2,20,5,2,0,0.7407407407407407,0.18518518518518517,3.111111111111111,1.5838337783210403
600,27,42,2,20,5,2,0,0.7407407407407407,0.18518518518518517,3.111111111111111,1.5985605476302263
650,27,42,2,20,5,2,0,0.7407407407407407,0.18518518518518517,3.111111111111111,1.5865348020550447
700,27,42,2,20,5,2,0,0.7407407407407407,0.18518518518518517,3.111111111111111,1.5828870284381638
750,27,41,3,20,4,3,0,0.7407407407407407,0.14814814814814814,3.037037037037037,1.569565922679168
800,27,41,3,20,4,3,0,0.7407407407407407,0.14814814814814814,3.037037037037037,1.5843194182699765
850,27,41,3,20,4,3,0,0.7407407407407407,0.14814814814814814,3.037037037037037,1.5831683745758018
900,27,41,3,20,4,3,0,0.7407407407407407,0.14814814814814814,3.037037037037037,1.577529765329877
950,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.5901823041567347
1000,27,41,3,20,4,3,0,0.7407407407407407,0.14814814814814814,3.037037037037037,1.5830147325502988
1050,27,41,3,20,4,3,0,0.7407407407407407,0.14814814814814814,3.037037037037037,1.5803270969448024
1100,27,39,6,18,3,6,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.5545479179056279
1150,27,39,6,18,3,6,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.5510882681337639
1200,27,39,6,18,3,6,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.571502581622016
1250,27,39,6,18,3,6,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.5586919267133676
1300,27,39,6,18,3,6,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.5532648828222266
1350,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.5790188725816947
1400,27,40,5,18,4,5,0,0.6666666666666666,0.14814814814814814,2.962962962962963,1.568132228639855
1450,27,40,4,20,3,4,0,0.7407407407407407,0.1111111111111111,2.962962962962963,1.5589359937617395
1500,27,40,4,20,3,4,0,0.7407407407407407,0.1111111111111111,2.962962962962963,1.5528454112539476
1550,27,39,5,20,2,5,0,0.7407407407407407,0.07407407407407407,2.888888888888889,1.555154301034037
1600,27,40,4,20,3,4,0,0.7407407407407407,0.1111111111111111,2.962962962962963,1.5512541139211207
1650,27,40,4,20,3,4,0,0.7407407407407407,0.1111111111111111,2.962962962962963,1.5537531681143055
1700,27,39,5,20,2,5,0,0.7407407407407407,0.07407407407407407,2.888888888888889,1.5415995630957227
1750,27,39,5,20,2,5,0,0.7407407407407407,0.07407407407407407,2.888888888888889,1.5322121926491097
1800,27,38,6,20,1,6,0,0.7407407407407407,0.037037037037037035,2.814814814814815,1.5422110255329693
1850,27,38,6,20,1,6,0,0.7407407407407407,0.037037037037037035,2.814814814814815,1.5655257690445972
1900,27,39,5,20,2,5,0,0.7407407407407407,0.07407407407407407,2.888888888888889,1.5299013769400842
1950,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5390484703821197
2000,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.538520404769916
2050,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.530269989764278
2100,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5355326683213286
2150,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5572018236741125
2200,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5537894825549885
2250,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5348943280939324
2300,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5501437541405185
2350,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.550511281795415
2400,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5501126033097976
2450,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5525703887705176
2500,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5489792529416628
2550,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5482140222293956
2600,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5591557732775212
2650,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5429211712068824
2700,27,38,6,20,1,6,0,0.7407407407407407,0.037037037037037035,2.814814814814815,1.5359350403294396
2750,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5185978048218776
2800,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5289391441658944
2850,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5428092098038053
2900,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5445916785431606
2950,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.528872658851704
3000,27,38,6,20,1,6,0,0.7407407407407407,0.037037037037037035,2.814814814814815,1.5026681924669074
3050,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5242432681732567
3100,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5354898434342417
3150,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.536512206535092
3200,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5306737889711417
3250,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5361635233263613
3300,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5337825561334355
3350,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5076842343733154
3400,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5475000104628442
3450,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5246937174391963
3500,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.526907532802195
3550,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5376972730259169
3600,27,38,5,22,0,5,0,0.8148148148148148,0.0,2.814814814814815,1.5247528179760501
3650,27,39,4,22,1,4,0,0.8148148148148148,0.037037037037037035,2.888888888888889,1.5428717160958247
3700,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5646569878379608
3750,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.532733279793951
3800,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5313212145709383
3850,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5470611680471005
3900,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5575780678210744
3950,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.538365007678263
4000,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5441558703670648
4050,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5355011902047762
4100,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.532988957356149
4150,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5387415988058268
4200,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5278954566373013
4250,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5300172750998844
4300,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5298078318656607
4350,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.533279791312939
4400,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5327331783041196
4450,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5234350623493829
4500,27,40,3,22,2,3,0,0.8148148148148148,0.07407407407407407,2.962962962962963,1.5258362820921065
