Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -5.4759      -5.5178       0.0419   324.0
0.1000          -6.2513      -6.4904       0.2392  1850.2
0.2000          -6.5314      -6.6697       0.1382  1069.5
0.3000          -6.6432      -6.7184       0.0752   581.8
0.4000          -6.6837      -6.7356       0.0519   401.2
0.5000          -6.6968      -6.7299       0.0332   256.7
0.6000          -6.7021      -6.7520       0.0499   386.1
0.7000          -6.7043      -6.7462       0.0420   324.8
0.8000          -6.7050      -6.7429       0.0379   293.3
0.9000          -6.7055      -6.7407       0.0352   272.2
1.0000          -6.7050      -6.7411       0.0360   278.7
1.1000          -6.7054      -6.7443       0.0389   301.1
1.2000          -6.7058      -6.7523       0.0465   359.7
1.3000          -6.7059      -6.7480       0.0421   325.8
1.4000          -6.7056      -6.7488       0.0431   333.7
1.5000          -6.7054      -6.7444       0.0390   302.0
1.6000          -6.7056      -6.7388       0.0332   257.0
1.7000          -6.7056      -6.7456       0.0401   309.9
1.8000          -6.7051      -6.7333       0.0282   218.1
1.9000          -6.7058      -6.7480       0.0423   327.0
2.0000          -6.7056      -6.7397       0.0341   263.6
2.1000          -6.7058      -6.7369       0.0310   240.0
2.2000          -6.7059      -6.7532       0.0473   366.2
2.3000          -6.7059      -6.7417       0.0358   276.7
2.4000          -6.7054      -6.7386       0.0331   256.4
2.5000          -6.7050      -6.7418       0.0367   284.3
2.6000          -6.7054      -6.7444       0.0390   301.8
2.7000          -6.7049      -6.7459       0.0410   317.2
2.8000          -6.7047      -6.7336       0.0289   223.9
2.9000          -6.7054      -6.7543       0.0489   378.4
3.0000          -6.7058      -6.7554       0.0496   383.7
3.1000          -6.7055      -6.7395       0.0340   263.1
3.2000          -6.7055      -6.7466       0.0411   318.2
3.3000          -6.7056      -6.7457       0.0401   310.0
3.4000          -6.7052      -6.7423       0.0371   287.2
3.5000          -6.7056      -6.7418       0.0363   280.6
3.6000          -6.7054      -6.7392       0.0338   261.1
3.7000          -6.7050      -6.7421       0.0371   287.2
3.8000          -6.7050      -6.7501       0.0450   348.3
3.9000          -6.7060      -6.7528       0.0468   362.3
4.0000          -6.7053      -6.7450       0.0397   307.0
4.1000          -6.7050      -6.7446       0.0396   306.6
4.2000          -6.7048      -6.7424       0.0375   290.3
4.3000          -6.7048      -6.7371       0.0324   250.5
4.4000          -6.7055      -6.7426       0.0371   287.4
4.5000          -6.7050      -6.7394       0.0344   266.2
4.6000          -6.7045      -6.7326       0.0281   217.6
4.7000          -6.7051      -6.7426       0.0375   289.9
4.8000          -6.7055      -6.7408       0.0354   273.8
4.9000          -6.7054      -6.7410       0.0356   275.1
5.0000          -6.7058      -6.7508       0.0450   348.3
5.1000          -6.7050      -6.7389       0.0340   262.7
5.2000          -6.7056      -6.7409       0.0353   272.9
5.3000          -6.7054      -6.7485       0.0431   333.5
5.4000          -6.7058      -6.7375       0.0318   246.0
5.5000          -6.7047      -6.7466       0.0419   324.3
5.6000          -6.7053      -6.7389       0.0336   260.1
5.7000          -6.7055      -6.7449       0.0394   304.5
5.8000          -6.7052      -6.7494       0.0442   342.1
5.9000          -6.7062      -6.7443       0.0382   295.2
6.0000          -6.7057      -6.7441       0.0384   297.2
6.1000          -6.7053      -6.7512       0.0458   354.7
6.2000          -6.7052      -6.7405       0.0354   273.7
6.3000          -6.7057      -6.7477       0.0419   324.3
6.4000          -6.7050      -6.7463       0.0413   319.6
6.5000          -6.7049      -6.7498       0.0449   347.7
6.6000          -6.7051      -6.7478       0.0427   330.5
6.7000          -6.7052      -6.7457       0.0405   313.1
6.8000          -6.7048      -6.7439       0.0391   302.1
6.9000          -6.7047      -6.7445       0.0398   307.6
7.0000          -6.7053      -6.7484       0.0431   333.1
7.1000          -6.7054      -6.7351       0.0297   229.6
7.2000          -6.7056      -6.7420       0.0365   282.1
7.3000          -6.7048      -6.7463       0.0414   320.5
7.4000          -6.7056      -6.7455       0.0399   308.4
7.5000          -6.7053      -6.7462       0.0409   316.4
7.6000          -6.7048      -6.7422       0.0374   289.3
7.7000          -6.7050      -6.7382       0.0333   257.4
7.8000          -6.7052      -6.7515       0.0463   358.3
7.9000          -6.7053      -6.7449       0.0395   305.8
8.0000          -6.7057      -6.7475       0.0417   323.0
8.1000          -6.7052      -6.7443       0.0391   302.4
8.2000          -6.7057      -6.7393       0.0336   260.1
8.3000          -6.7059      -6.7542       0.0483   373.7
8.4000          -6.7053      -6.7389       0.0335   259.4
8.5000          -6.7058      -6.7505       0.0446   345.1
8.6000          -6.7053      -6.7398       0.0344   266.2
8.7000          -6.7056      -6.7426       0.0370   286.1
8.8000          -6.7062      -6.7447       0.0385   297.9
8.9000          -6.7058      -6.7437       0.0379   292.9
9.0000          -6.7052      -6.7434       0.0382   295.3
9.1000          -6.7053      -6.7427       0.0374   289.3
9.2000          -6.7060      -6.7501       0.0441   341.4
9.3000          -6.7053      -6.7406       0.0353   273.2
9.4000          -6.7053      -6.7437       0.0383   296.6
9.5000          -6.7054      -6.7369       0.0315   243.8
9.6000          -6.7047      -6.7478       0.0431   333.4
9.7000          -6.7057      -6.7439       0.0383   296.0
9.8000          -6.7052      -6.7440       0.0388   300.1
9.9000          -6.7040      -6.7391       0.0350   270.9
10.0000         -6.7050      -6.7485       0.0435   336.6
