Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.6983      -6.7424       0.0441   341.1
0.1000          -6.7103      -6.7449       0.0346   267.5
0.2000          -6.7155      -6.7521       0.0366   283.5
0.3000          -6.7173      -6.7567       0.0394   304.6
0.4000          -6.7176      -6.7511       0.0335   259.5
0.5000          -6.7171      -6.7564       0.0393   304.3
0.6000          -6.7182      -6.7686       0.0504   390.0
0.7000          -6.7181      -6.7593       0.0412   319.0
0.8000          -6.7179      -6.7610       0.0431   333.4
0.9000          -6.7174      -6.7636       0.0462   357.2
1.0000          -6.7184      -6.7636       0.0453   350.1
1.1000          -6.7182      -6.7643       0.0461   356.5
1.2000          -6.7177      -6.7568       0.0391   302.1
1.3000          -6.7187      -6.7598       0.0411   317.8
1.4000          -6.7187      -6.7678       0.0490   379.4
1.5000          -6.7180      -6.7535       0.0355   274.4
1.6000          -6.7181      -6.7592       0.0411   318.2
1.7000          -6.7180      -6.7524       0.0344   266.2
1.8000          -6.7178      -6.7503       0.0325   251.3
1.9000          -6.7178      -6.7616       0.0438   339.0
2.0000          -6.7177      -6.7489       0.0312   241.4
2.1000          -6.7185      -6.7502       0.0318   245.7
2.2000          -6.7179      -6.7584       0.0405   313.0
2.3000          -6.7180      -6.7512       0.0332   256.7
2.4000          -6.7184      -6.7508       0.0324   250.5
2.5000          -6.7181      -6.7596       0.0415   321.2
2.6000          -6.7181      -6.7515       0.0334   258.2
2.7000          -6.7181      -6.7569       0.0388   299.9
2.8000          -6.7186      -6.7490       0.0304   235.4
2.9000          -6.7188      -6.7593       0.0405   313.5
3.0000          -6.7183      -6.7576       0.0393   303.8
3.1000          -6.7183      -6.7548       0.0365   282.2
3.2000          -6.7188      -6.7544       0.0356   275.3
3.3000          -6.7182      -6.7620       0.0437   338.4
3.4000          -6.7181      -6.7474       0.0293   226.6
3.5000          -6.7187      -6.7648       0.0461   356.7
3.6000          -6.7185      -6.7622       0.0437   338.3
3.7000          -6.7184      -6.7552       0.0368   284.7
3.8000          -6.7182      -6.7614       0.0432   333.9
3.9000          -6.7190      -6.7616       0.0426   329.5
4.0000          -6.7183      -6.7639       0.0456   353.0
4.1000          -6.7181      -6.7616       0.0435   336.7
4.2000          -6.7183      -6.7588       0.0406   313.9
4.3000          -6.7189      -6.7595       0.0406   314.5
4.4000          -6.7182      -6.7617       0.0435   336.6
4.5000          -6.7181      -6.7594       0.0413   319.5
4.6000          -6.7181      -6.7636       0.0455   351.9
4.7000          -6.7180      -6.7575       0.0395   305.8
4.8000          -6.7179      -6.7589       0.0410   317.1
4.9000          -6.7181      -6.7599       0.0417   322.9
5.0000          -6.7184      -6.7563       0.0379   293.5
5.1000          -6.7179      -6.7646       0.0467   361.5
5.2000          -6.7182      -6.7544       0.0362   280.1
5.3000          -6.7181      -6.7555       0.0374   289.5
5.4000          -6.7182      -6.7663       0.0482   372.7
5.5000          -6.7179      -6.7490       0.0311   240.7
5.6000          -6.7183      -6.7618       0.0435   336.6
5.7000          -6.7183      -6.7568       0.0385   298.1
5.8000          -6.7184      -6.7534       0.0350   270.9
5.9000          -6.7178      -6.7597       0.0420   324.6
6.0000          -6.7186      -6.7537       0.0351   271.8
6.1000          -6.7179      -6.7584       0.0405   313.3
6.2000          -6.7178      -6.7653       0.0475   367.2
6.3000          -6.7182      -6.7550       0.0369   285.4
6.4000          -6.7186      -6.7570       0.0384   297.0
6.5000          -6.7179      -6.7592       0.0413   319.6
6.6000          -6.7179      -6.7518       0.0339   261.9
6.7000          -6.7180      -6.7576       0.0396   306.3
6.8000          -6.7188      -6.7525       0.0337   260.9
6.9000          -6.7176      -6.7589       0.0413   319.6
7.0000          -6.7181      -6.7599       0.0418   323.3
7.1000          -6.7183      -6.7553       0.0370   286.4
7.2000          -6.7181      -6.7540       0.0359   277.5
7.3000          -6.7184      -6.7623       0.0439   339.3
7.4000          -6.7187      -6.7591       0.0405   313.0
7.5000          -6.7180      -6.7579       0.0399   308.5
7.6000          -6.7178      -6.7586       0.0408   315.5
7.7000          -6.7183      -6.7563       0.0380   293.8
7.8000          -6.7183      -6.7636       0.0453   350.5
7.9000          -6.7184      -6.7651       0.0467   361.0
8.0000          -6.7177      -6.7577       0.0401   310.0
8.1000          -6.7185      -6.7598       0.0413   319.9
8.2000          -6.7187      -6.7643       0.0456   353.1
8.3000          -6.7179      -6.7619       0.0440   340.7
8.4000          -6.7178      -6.7557       0.0379   293.2
8.5000          -6.7186      -6.7507       0.0321   248.1
8.6000          -6.7177      -6.7632       0.0455   352.0
8.7000          -6.7180      -6.7567       0.0388   299.8
8.8000          -6.7180      -6.7576       0.0396   306.7
8.9000          -6.7182      -6.7606       0.0424   328.0
9.0000          -6.7178      -6.7614       0.0436   337.1
9.1000          -6.7179      -6.7612       0.0433   334.7
9.2000          -6.7186      -6.7567       0.0380   294.2
9.3000          -6.7183      -6.7542       0.0359   277.7
9.4000          -6.7174      -6.7580       0.0406   313.8
9.5000          -6.7186      -6.7582       0.0396   306.7
9.6000          -6.7182      -6.7578       0.0395   305.9
9.7000          -6.7179      -6.7597       0.0417   322.9
9.8000          -6.7183      -6.7514       0.0330   255.5
9.9000          -6.7184      -6.7606       0.0422   326.5
10.0000         -6.7182      -6.7610       0.0428   331.2
