Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.2767      -7.3168       0.0401   310.6
0.1000          -7.3003      -7.3539       0.0537   415.2
0.2000          -7.3078      -7.3455       0.0377   291.7
0.3000          -7.3113      -7.3535       0.0422   326.7
0.4000          -7.3115      -7.3522       0.0406   314.3
0.5000          -7.3126      -7.3510       0.0384   297.0
0.6000          -7.3124      -7.3564       0.0440   340.1
0.7000          -7.3124      -7.3504       0.0379   293.6
0.8000          -7.3127      -7.3542       0.0415   320.7
0.9000          -7.3128      -7.3480       0.0352   272.3
1.0000          -7.3131      -7.3515       0.0385   297.7
1.1000          -7.3126      -7.3500       0.0374   289.4
1.2000          -7.3129      -7.3522       0.0393   303.9
1.3000          -7.3127      -7.3510       0.0383   296.3
1.4000          -7.3129      -7.3526       0.0397   307.4
1.5000          -7.3124      -7.3546       0.0422   326.7
1.6000          -7.3128      -7.3500       0.0372   287.9
1.7000          -7.3128      -7.3536       0.0408   315.4
1.8000          -7.3125      -7.3462       0.0337   260.8
1.9000          -7.3128      -7.3510       0.0382   295.4
2.0000          -7.3125      -7.3528       0.0403   312.1
2.1000          -7.3127      -7.3522       0.0395   305.7
2.2000          -7.3126      -7.3539       0.0413   319.2
2.3000          -7.3126      -7.3530       0.0404   312.3
2.4000          -7.3130      -7.3563       0.0433   335.2
2.5000          -7.3129      -7.3517       0.0388   300.2
2.6000          -7.3129      -7.3509       0.0380   293.8
2.7000          -7.3129      -7.3521       0.0392   303.2
2.8000          -7.3131      -7.3486       0.0355   274.9
2.9000          -7.3131      -7.3582       0.0451   348.9
3.0000          -7.3131      -7.3543       0.0413   319.2
3.1000          -7.3130      -7.3524       0.0394   304.8
3.2000          -7.3130      -7.3519       0.0388   300.3
3.3000          -7.3128      -7.3500       0.0372   288.1
3.4000          -7.3130      -7.3507       0.0377   291.8
3.5000          -7.3131      -7.3500       0.0369   285.4
3.6000          -7.3129      -7.3484       0.0355   274.7
3.7000          -7.3129      -7.3490       0.0361   279.5
3.8000          -7.3132      -7.3549       0.0417   322.7
3.9000          -7.3133      -7.3519       0.0386   298.7
4.0000          -7.3133      -7.3576       0.0444   343.2
4.1000          -7.3130      -7.3482       0.0352   272.3
4.2000          -7.3131      -7.3559       0.0428   331.1
4.3000          -7.3129      -7.3534       0.0405   313.3
4.4000          -7.3135      -7.3521       0.0386   298.2
4.5000          -7.3131      -7.3557       0.0426   329.2
4.6000          -7.3130      -7.3501       0.0371   287.0
4.7000          -7.3131      -7.3555       0.0424   327.7
4.8000          -7.3129      -7.3523       0.0394   304.7
4.9000          -7.3133      -7.3533       0.0401   310.0
5.0000          -7.3129      -7.3532       0.0403   312.0
5.1000          -7.3131      -7.3499       0.0368   284.7
5.2000          -7.3134      -7.3569       0.0436   337.1
5.3000          -7.3130      -7.3500       0.0371   286.7
5.4000          -7.3133      -7.3518       0.0384   297.3
5.5000          -7.3131      -7.3530       0.0400   309.2
5.6000          -7.3133      -7.3519       0.0386   298.3
5.7000          -7.3137      -7.3571       0.0435   336.3
5.8000          -7.3139      -7.3503       0.0365   282.1
5.9000          -7.3139      -7.3528       0.0390   301.6
6.0000          -7.3139      -7.3515       0.0376   291.1
6.1000          -7.3141      -7.3532       0.0390   302.1
6.2000          -7.3139      -7.3519       0.0380   293.7
6.3000          -7.3144      -7.3481       0.0338   261.1
6.4000          -7.3142      -7.3550       0.0409   316.1
6.5000          -7.3138      -7.3507       0.0369   285.4
6.6000          -7.3140      -7.3532       0.0392   303.5
6.7000          -7.3139      -7.3513       0.0374   289.7
6.8000          -7.3141      -7.3527       0.0385   298.2
6.9000          -7.3140      -7.3524       0.0384   297.0
7.0000          -7.3141      -7.3560       0.0419   323.9
7.1000          -7.3144      -7.3571       0.0427   330.6
7.2000          -7.3140      -7.3550       0.0411   317.6
7.3000          -7.3137      -7.3537       0.0400   309.8
7.4000          -7.3137      -7.3541       0.0404   312.7
7.5000          -7.3136      -7.3534       0.0398   307.9
7.6000          -7.3135      -7.3509       0.0374   289.1
7.7000          -7.3134      -7.3500       0.0366   283.1
7.8000          -7.3135      -7.3492       0.0357   276.0
7.9000          -7.3134      -7.3479       0.0344   266.3
8.0000          -7.3133      -7.3479       0.0345   267.2
8.1000          -7.3134      -7.3498       0.0363   281.0
8.2000          -7.3136      -7.3500       0.0364   281.3
8.3000          -7.3134      -7.3529       0.0395   305.5
8.4000          -7.3136      -7.3508       0.0372   288.2
8.5000          -7.3134      -7.3539       0.0405   313.5
8.6000          -7.3134      -7.3528       0.0393   304.3
8.7000          -7.3132      -7.3520       0.0388   300.0
8.8000          -7.3131      -7.3529       0.0398   307.9
8.9000          -7.3137      -7.3544       0.0407   314.7
9.0000          -7.3131      -7.3524       0.0393   304.2
9.1000          -7.3134      -7.3546       0.0412   318.4
9.2000          -7.3134      -7.3502       0.0368   285.0
9.3000          -7.3133      -7.3520       0.0387   299.4
9.4000          -7.3138      -7.3547       0.0408   315.9
9.5000          -7.3133      -7.3493       0.0359   278.1
9.6000          -7.3137      -7.3556       0.0419   324.0
9.7000          -7.3136      -7.3518       0.0382   295.6
9.8000          -7.3135      -7.3506       0.0371   286.7
9.9000          -7.3135      -7.3521       0.0386   298.7
10.0000         -7.3137      -7.3472       0.0335   259.0
